test_no,test_date,test_type,test_configuration,contractor_study_title,impact_direction,test_family,crash_classification_status,canonical_label,classification_id,family,load_cell_classification_status,raw_barrier_shape,normalized_barrier_shape_key,shape_alias_rule_id,shape_alias_confidence,load_cell_channel_count,force_channel_count,moment_channel_count,pole_index_range_json,expected_pole_count,observed_pole_channel_count,observed_unique_pole_count,missing_pole_indices,duplicate_pole_indices,pole_all_1_8_present,pole_all_1_8_as_measured,missing_expected_channels_json,duplicate_channels_json,mask_summary_json,vehicle_cg_accel_channel_count,vehicle_cg_accel_non_accel_unit_channel_count,vehicle_cg_accel_non_accel_units,vehicle_cg_accel_xyz_present,vehicle_cg_accel_xyz_as_measured,vehicle_cg_accel_any_failed_or_questionable,all_accelerometer_channel_count,metadata_only_waveform_parsed,pole_1_available,pole_1_curve_nos,pole_1_axes,pole_1_units,pole_1_data_statuses,pole_1_channel_statuses,pole_1_all_as_measured,pole_2_available,pole_2_curve_nos,pole_2_axes,pole_2_units,pole_2_data_statuses,pole_2_channel_statuses,pole_2_all_as_measured,pole_3_available,pole_3_curve_nos,pole_3_axes,pole_3_units,pole_3_data_statuses,pole_3_channel_statuses,pole_3_all_as_measured,pole_4_available,pole_4_curve_nos,pole_4_axes,pole_4_units,pole_4_data_statuses,pole_4_channel_statuses,pole_4_all_as_measured,pole_5_available,pole_5_curve_nos,pole_5_axes,pole_5_units,pole_5_data_statuses,pole_5_channel_statuses,pole_5_all_as_measured,pole_6_available,pole_6_curve_nos,pole_6_axes,pole_6_units,pole_6_data_statuses,pole_6_channel_statuses,pole_6_all_as_measured,pole_7_available,pole_7_curve_nos,pole_7_axes,pole_7_units,pole_7_data_statuses,pole_7_channel_statuses,pole_7_all_as_measured,pole_8_available,pole_8_curve_nos,pole_8_axes,pole_8_units,pole_8_data_statuses,pole_8_channel_statuses,pole_8_all_as_measured,vehicle_cg_x_accel_available,vehicle_cg_x_accel_curve_nos,vehicle_cg_x_accel_units,vehicle_cg_x_accel_data_statuses,vehicle_cg_x_accel_channel_statuses,vehicle_cg_x_accel_all_as_measured,vehicle_cg_y_accel_available,vehicle_cg_y_accel_curve_nos,vehicle_cg_y_accel_units,vehicle_cg_y_accel_data_statuses,vehicle_cg_y_accel_channel_statuses,vehicle_cg_y_accel_all_as_measured,vehicle_cg_z_accel_available,vehicle_cg_z_accel_curve_nos,vehicle_cg_z_accel_units,vehicle_cg_z_accel_data_statuses,vehicle_cg_z_accel_channel_statuses,vehicle_cg_z_accel_all_as_measured
7202,2011-01-04,NEW CAR ASSESSMENT TEST,VEHICLE INTO POLE,NCAP SIDE POLE - 2011 KIA FORTE LX 4-DR SEDAN,side,side,classified,,side_pole_load_cell_8,side_pole_load_cell_barrier,covered_with_mask,POLE,POLE,pole_barrier_unconditional,1,8,8,0,"[1, 8]",8,8,8,,,true,false,[],[],"{""missing_expected_channel_count"": 0, ""duplicate_channel_count"": 0, ""force_channel_count"": 8, ""moment_channel_count"": 0}",3,0,,true,true,false,27,false,true,43,Y - GLOBAL,NEWTONS,NO DATA,PRIMARY,false,true,44,Y - GLOBAL,NEWTONS,NO DATA,PRIMARY,false,true,45,Y - GLOBAL,NEWTONS,NO DATA,PRIMARY,false,true,46,Y - GLOBAL,NEWTONS,NO DATA,PRIMARY,false,true,47,Y - GLOBAL,NEWTONS,NO DATA,PRIMARY,false,true,48,Y - GLOBAL,NEWTONS,NO DATA,PRIMARY,false,true,49,Y - GLOBAL,NEWTONS,NO DATA,PRIMARY,false,true,50,Y - GLOBAL,NEWTONS,NO DATA,PRIMARY,false,true,22,G'S,AS MEASURED,PRIMARY,true,true,23,G'S,AS MEASURED,PRIMARY,true,true,24,G'S,AS MEASURED,PRIMARY,true
7340,2011-01-18,NEW CAR ASSESSMENT TEST,VEHICLE INTO POLE,NEW CAR ASSESSMENT PROGRAM SIDE POLE BARRIER IMPACT TEST,side,side,classified,,side_pole_load_cell_8,side_pole_load_cell_barrier,covered_with_mask,POLE,POLE,pole_barrier_unconditional,1,8,8,0,"[1, 8]",8,8,8,,,true,true,[],[],"{""missing_expected_channel_count"": 0, ""duplicate_channel_count"": 0, ""force_channel_count"": 8, ""moment_channel_count"": 0}",3,0,,true,false,true,27,false,true,43,Y - GLOBAL,NEWTONS,AS MEASURED,PRIMARY,true,true,44,Y - GLOBAL,NEWTONS,AS MEASURED,PRIMARY,true,true,45,Y - GLOBAL,NEWTONS,AS MEASURED,PRIMARY,true,true,46,Y - GLOBAL,NEWTONS,AS MEASURED,PRIMARY,true,true,47,Y - GLOBAL,NEWTONS,AS MEASURED,PRIMARY,true,true,48,Y - GLOBAL,NEWTONS,AS MEASURED,PRIMARY,true,true,49,Y - GLOBAL,NEWTONS,AS MEASURED,PRIMARY,true,true,50,Y - GLOBAL,NEWTONS,AS MEASURED,PRIMARY,true,true,22,G'S,QUESTIONABLE DATA,PRIMARY,false,true,23,G'S,QUESTIONABLE DATA,PRIMARY,false,true,24,G'S,QUESTIONABLE DATA,PRIMARY,false
7344,2011-02-01,NEW CAR ASSESSMENT TEST,VEHICLE INTO POLE,NCAP SIDE POLE - 2011 KIA OPTIMA LX 4-DR SEDAN,side,side,classified,,side_pole_load_cell_8,side_pole_load_cell_barrier,covered_with_mask,POLE,POLE,pole_barrier_unconditional,1,8,8,0,"[1, 8]",8,8,8,,,true,false,[],[],"{""missing_expected_channel_count"": 0, ""duplicate_channel_count"": 0, ""force_channel_count"": 8, ""moment_channel_count"": 0}",3,0,,true,true,false,27,false,true,43,Y - GLOBAL,NEWTONS,NO DATA,PRIMARY,false,true,44,Y - GLOBAL,NEWTONS,NO DATA,PRIMARY,false,true,45,Y - GLOBAL,NEWTONS,NO DATA,PRIMARY,false,true,46,Y - GLOBAL,NEWTONS,NO DATA,PRIMARY,false,true,47,Y - GLOBAL,NEWTONS,NO DATA,PRIMARY,false,true,48,Y - GLOBAL,NEWTONS,NO DATA,PRIMARY,false,true,49,Y - GLOBAL,NEWTONS,NO DATA,PRIMARY,false,true,50,Y - GLOBAL,NEWTONS,NO DATA,PRIMARY,false,true,22,G'S,AS MEASURED,PRIMARY,true,true,23,G'S,AS MEASURED,PRIMARY,true,true,24,G'S,AS MEASURED,PRIMARY,true
7345,2011-02-02,NEW CAR ASSESSMENT TEST,VEHICLE INTO POLE,NCAP SIDE IMPACT POLE BARRIER - 2011 TOYOTA TUNDRA DBL CAB 4-DR TRUCK,side,side,classified,,side_pole_load_cell_8,side_pole_load_cell_barrier,covered_with_mask,POLE,POLE,pole_barrier_unconditional,1,8,8,0,"[1, 8]",8,8,8,,,true,true,[],[],"{""missing_expected_channel_count"": 0, ""duplicate_channel_count"": 0, ""force_channel_count"": 8, ""moment_channel_count"": 0}",3,0,,true,true,false,27,false,true,43,Y - GLOBAL,NEWTONS,AS MEASURED,PRIMARY,true,true,44,Y - GLOBAL,NEWTONS,AS MEASURED,PRIMARY,true,true,45,Y - GLOBAL,NEWTONS,AS MEASURED,PRIMARY,true,true,46,Y - GLOBAL,NEWTONS,AS MEASURED,PRIMARY,true,true,47,Y - GLOBAL,NEWTONS,AS MEASURED,PRIMARY,true,true,48,Y - GLOBAL,NEWTONS,AS MEASURED,PRIMARY,true,true,49,Y - GLOBAL,NEWTONS,AS MEASURED,PRIMARY,true,true,50,Y - GLOBAL,NEWTONS,AS MEASURED,PRIMARY,true,true,22,G'S,AS MEASURED,PRIMARY,true,true,23,G'S,AS MEASURED,PRIMARY,true,true,24,G'S,AS MEASURED,PRIMARY,true
7348,2011-02-07,NEW CAR ASSESSMENT TEST,VEHICLE INTO POLE,NCAP SIDE POLE - 2011 TOYOTA COROLLA 4-DR SEDAN,side,side,classified,,side_pole_load_cell_8,side_pole_load_cell_barrier,covered_with_mask,POLE,POLE,pole_barrier_unconditional,1,8,8,0,"[1, 8]",8,8,8,,,true,false,[],[],"{""missing_expected_channel_count"": 0, ""duplicate_channel_count"": 0, ""force_channel_count"": 8, ""moment_channel_count"": 0}",3,0,,true,true,false,27,false,true,43,Y - GLOBAL,NEWTONS,NO DATA,PRIMARY,false,true,44,Y - GLOBAL,NEWTONS,NO DATA,PRIMARY,false,true,45,Y - GLOBAL,NEWTONS,NO DATA,PRIMARY,false,true,46,Y - GLOBAL,NEWTONS,NO DATA,PRIMARY,false,true,47,Y - GLOBAL,NEWTONS,NO DATA,PRIMARY,false,true,48,Y - GLOBAL,NEWTONS,NO DATA,PRIMARY,false,true,49,Y - GLOBAL,NEWTONS,NO DATA,PRIMARY,false,true,50,Y - GLOBAL,NEWTONS,NO DATA,PRIMARY,false,true,22,G'S,AS MEASURED,PRIMARY,true,true,23,G'S,AS MEASURED,PRIMARY,true,true,24,G'S,AS MEASURED,PRIMARY,true
7349,2011-02-09,NEW CAR ASSESSMENT TEST,VEHICLE INTO POLE,NCAP SIDE IMPACT POLE BARRIER - 2011 FORD F-150 SUPERCREW 4-DR TRUCK,side,side,classified,,side_pole_load_cell_8,side_pole_load_cell_barrier,covered_with_mask,POLE,POLE,pole_barrier_unconditional,1,8,8,0,"[1, 8]",8,8,8,,,true,true,[],[],"{""missing_expected_channel_count"": 0, ""duplicate_channel_count"": 0, ""force_channel_count"": 8, ""moment_channel_count"": 0}",3,0,,true,true,false,27,false,true,43,Y - GLOBAL,NEWTONS,AS MEASURED,PRIMARY,true,true,44,Y - GLOBAL,NEWTONS,AS MEASURED,PRIMARY,true,true,45,Y - GLOBAL,NEWTONS,AS MEASURED,PRIMARY,true,true,46,Y - GLOBAL,NEWTONS,AS MEASURED,PRIMARY,true,true,47,Y - GLOBAL,NEWTONS,AS MEASURED,PRIMARY,true,true,48,Y - GLOBAL,NEWTONS,AS MEASURED,PRIMARY,true,true,49,Y - GLOBAL,NEWTONS,AS MEASURED,PRIMARY,true,true,50,Y - GLOBAL,NEWTONS,AS MEASURED,PRIMARY,true,true,22,G'S,AS MEASURED,PRIMARY,true,true,23,G'S,AS MEASURED,PRIMARY,true,true,24,G'S,AS MEASURED,PRIMARY,true
7351,2011-02-10,NEW CAR ASSESSMENT TEST,VEHICLE INTO POLE,NCAP SIDE IMPACT POLE BARRIER - 2011 FORD F-150 SUPERCAB 2-DR TRUCK,side,side,classified,,side_pole_load_cell_8,side_pole_load_cell_barrier,covered_with_mask,POLE,POLE,pole_barrier_unconditional,1,8,8,0,"[1, 8]",8,8,8,,,true,false,[],[],"{""missing_expected_channel_count"": 0, ""duplicate_channel_count"": 0, ""force_channel_count"": 8, ""moment_channel_count"": 0}",3,0,,true,true,false,27,false,true,43,Y - GLOBAL,NEWTONS,AS MEASURED,PRIMARY,true,true,44,Y - GLOBAL,NEWTONS,AS MEASURED,PRIMARY,true,true,45,Y - GLOBAL,NEWTONS,AS MEASURED,PRIMARY,true,true,46,Y - GLOBAL,NEWTONS,AS MEASURED,PRIMARY,true,true,47,Y - GLOBAL,NEWTONS,AS MEASURED,PRIMARY,true,true,48,Y - GLOBAL,NEWTONS,AS MEASURED,PRIMARY,true,true,49,Y - GLOBAL,NEWTONS,AS MEASURED,PRIMARY,true,true,50,Y - GLOBAL,NEWTONS,CHANNEL FAILED,PRIMARY,false,true,22,G'S,AS MEASURED,PRIMARY,true,true,23,G'S,AS MEASURED,PRIMARY,true,true,24,G'S,AS MEASURED,PRIMARY,true
7354,2011-02-14,NEW CAR ASSESSMENT TEST,VEHICLE INTO POLE,NCAP SIDE POLE - 2011 TOYOTA PRIUS 5-DR LIFTBACK,side,side,classified,,side_pole_load_cell_8,side_pole_load_cell_barrier,covered_with_mask,POLE,POLE,pole_barrier_unconditional,1,8,8,0,"[1, 8]",8,8,8,,,true,false,[],[],"{""missing_expected_channel_count"": 0, ""duplicate_channel_count"": 0, ""force_channel_count"": 8, ""moment_channel_count"": 0}",3,0,,true,false,true,27,false,true,43,Y - GLOBAL,NEWTONS,NO DATA,PRIMARY,false,true,44,Y - GLOBAL,NEWTONS,NO DATA,PRIMARY,false,true,45,Y - GLOBAL,NEWTONS,NO DATA,PRIMARY,false,true,46,Y - GLOBAL,NEWTONS,NO DATA,PRIMARY,false,true,47,Y - GLOBAL,NEWTONS,NO DATA,PRIMARY,false,true,48,Y - GLOBAL,NEWTONS,NO DATA,PRIMARY,false,true,49,Y - GLOBAL,NEWTONS,NO DATA,PRIMARY,false,true,50,Y - GLOBAL,NEWTONS,NO DATA,PRIMARY,false,true,22,G'S,CHANNEL FAILED,PRIMARY,false,true,23,G'S,CHANNEL FAILED,PRIMARY,false,true,24,G'S,QUESTIONABLE DATA,PRIMARY,false
7361,2011-02-21,OPTIONAL NEW CAR ASSESSMENT TEST,VEHICLE INTO POLE,NCAP SIDE POLE - 2011 SCION TC 3-DR LIFTBACK,side,side,classified,,side_pole_load_cell_8,side_pole_load_cell_barrier,covered_with_mask,POLE,POLE,pole_barrier_unconditional,1,8,8,0,"[1, 8]",8,8,8,,,true,false,[],[],"{""missing_expected_channel_count"": 0, ""duplicate_channel_count"": 0, ""force_channel_count"": 8, ""moment_channel_count"": 0}",3,0,,true,true,false,27,false,true,43,Y - GLOBAL,NEWTONS,NO DATA,PRIMARY,false,true,44,Y - GLOBAL,NEWTONS,NO DATA,PRIMARY,false,true,45,Y - GLOBAL,NEWTONS,NO DATA,PRIMARY,false,true,46,Y - GLOBAL,NEWTONS,NO DATA,PRIMARY,false,true,47,Y - GLOBAL,NEWTONS,NO DATA,PRIMARY,false,true,48,Y - GLOBAL,NEWTONS,NO DATA,PRIMARY,false,true,49,Y - GLOBAL,NEWTONS,NO DATA,PRIMARY,false,true,50,Y - GLOBAL,NEWTONS,NO DATA,PRIMARY,false,true,22,G'S,AS MEASURED,PRIMARY,true,true,23,G'S,AS MEASURED,PRIMARY,true,true,24,G'S,AS MEASURED,PRIMARY,true
7365,2011-02-25,OPTIONAL NEW CAR ASSESSMENT TEST,VEHICLE INTO POLE,NCAP SIDE POLE - 2011 BUICK LUCERNE CX 4-DR SEDAN,side,side,classified,,side_pole_load_cell_8,side_pole_load_cell_barrier,covered_with_mask,POLE,POLE,pole_barrier_unconditional,1,8,8,0,"[1, 8]",8,8,8,,,true,false,[],[],"{""missing_expected_channel_count"": 0, ""duplicate_channel_count"": 0, ""force_channel_count"": 8, ""moment_channel_count"": 0}",3,0,,true,true,false,27,false,true,43,Y - GLOBAL,NEWTONS,NO DATA,PRIMARY,false,true,44,Y - GLOBAL,NEWTONS,NO DATA,PRIMARY,false,true,45,Y - GLOBAL,NEWTONS,NO DATA,PRIMARY,false,true,46,Y - GLOBAL,NEWTONS,NO DATA,PRIMARY,false,true,47,Y - GLOBAL,NEWTONS,NO DATA,PRIMARY,false,true,48,Y - GLOBAL,NEWTONS,NO DATA,PRIMARY,false,true,49,Y - GLOBAL,NEWTONS,NO DATA,PRIMARY,false,true,50,Y - GLOBAL,NEWTONS,NO DATA,PRIMARY,false,true,22,G'S,AS MEASURED,PRIMARY,true,true,23,G'S,AS MEASURED,PRIMARY,true,true,24,G'S,AS MEASURED,PRIMARY,true
