test_no,test_date,test_family,impact_direction,load_cell_classification_id,source_vehicle_id,source_vehicle_no,participant_kind,participant_kind_source,vin,make,model,model_year,body_type,engine_type,engine_displacement_l,transmission,vehicle_speed_kph,vehicle_test_weight_kg,curb_weight_kg,vehicle_length_mm,vehicle_width_mm,wheelbase_mm,vax_crush_distance_mm,vehicle_cg_mm,vehicle_orientation_deg,source_row_hash
7202,2011-01-04,side,side,side_pole_load_cell_8,2,1,subject_vehicle,single_vehicle_inferred_subject,KNAFT4A24B5344944,KIA,FORTE,2011,FOUR DOOR SEDAN,4 CYLINDER TRANSVERSE FRONT,2.0,AUTOMATIC - FRONT WHEEL DRIVE,32.3,1390.0,1299.0,4535.0,1755.0,2653.0,393.0,1028.0,0.0,3b40db53145fb7165a88727eda7eeb87d250c0998f9ee0ff770f9a6c2480ca48
7340,2011-01-18,side,side,side_pole_load_cell_8,11,1,subject_vehicle,single_vehicle_inferred_subject,1FTKR4EEXBPA18607,FORD,RANGER,2011,EXTENDED CAB PICKUP,V6 TRANSVERSE FRONT,4.0,AUTOMATIC - REAR WHEEL DRIVE,32.12,1831.0,1673.0,5180.0,1744.0,3199.0,524.0,1418.0,0.0,431a27d204ea425aa32051cd1e566622c657990ca26588898c709e4bd65986fd
7344,2011-02-01,side,side,side_pole_load_cell_8,17,1,subject_vehicle,single_vehicle_inferred_subject,KNAGM4A76B5066447,KIA,OPTIMA,2011,FOUR DOOR SEDAN,4 CYLINDER TRANSVERSE FRONT,2.4,MANUAL - FRONT WHEEL DRIVE,32.5,1588.0,1473.0,4845.0,1805.0,2795.0,393.0,1228.0,0.0,569709d7d1cd8a2feed5d0017364d98910a934d98618c6e6e5317c5f90353883
7345,2011-02-02,side,side,side_pole_load_cell_8,18,1,subject_vehicle,single_vehicle_inferred_subject,5TFRY5F13BX103372,TOYOTA,TUNDRA DOUBLE CAB,2011,4 DOOR PICKUP,V8 INLINE FRONT,5.7,AUTOMATIC - REAR WHEEL DRIVE,32.92,2618.0,2441.0,5803.0,2022.0,3702.0,505.0,1692.0,0.0,2a3ec72223f1c8afc5e4ca2d9149067f5f930b6695ac9d5f7577bfea9cd1f3a8
7348,2011-02-07,side,side,side_pole_load_cell_8,24,1,subject_vehicle,single_vehicle_inferred_subject,2T1BU4EE5BC542051,TOYOTA,COROLLA,2011,FOUR DOOR SEDAN,4 CYLINDER TRANSVERSE FRONT,1.8,AUTOMATIC - FRONT WHEEL DRIVE,32.5,1331.0,1257.0,4546.0,1760.0,2600.0,341.0,1057.0,0.0,7c0ac4d37aaa8dd3569dc844066426194b4a2568c6e0659937c24fff1e2158f9
7349,2011-02-09,side,side,side_pole_load_cell_8,26,1,subject_vehicle,single_vehicle_inferred_subject,1FTFW1CF2BFA07496,FORD,F150 SUPERCREW,2011,4 DOOR PICKUP,V8 INLINE FRONT,5.0,AUTOMATIC - REAR WHEEL DRIVE,32.77,2610.0,2433.0,5876.0,1985.0,3676.0,594.0,1757.0,0.0,a55cec43c990146dd19fef71130d24c219b776ff6dc7c7cd6c490dd8d3bbb69b
7351,2011-02-10,side,side,side_pole_load_cell_8,30,1,subject_vehicle,single_vehicle_inferred_subject,1FTEX1CMXBFA43718,FORD,F150 SUPERCAB,2011,EXTENDED CAB PICKUP,V6 INLINE FRONT,3.7,AUTOMATIC - REAR WHEEL DRIVE,32.67,2526.0,2348.0,5871.0,1989.0,3673.0,572.0,1711.0,0.0,88170f1e3cff63075213fd31827f2666e23bdf2339360abacbaf6d58d37b011b
7354,2011-02-14,side,side,side_pole_load_cell_8,33,1,subject_vehicle,single_vehicle_inferred_subject,JTDKN3DU2B0255857,TOYOTA,PRIUS,2011,FIVE DOOR HATCHBACK,4 CYLINDER TRANSVERSE FRONT,1.8,AUTOMATIC - FRONT WHEEL DRIVE,32.5,1472.0,1399.0,4460.0,1748.0,2700.0,334.0,1123.0,0.0,7333343e67857dfdffab5df04aee89f72ddddfc89c4be1f923c35d55016261db
7361,2011-02-21,side,side,side_pole_load_cell_8,42,1,subject_vehicle,single_vehicle_inferred_subject,JTKJF5C75B3016908,TOYOTA,SCION TC,2011,THREE DOOR HATCHBACK,4 CYLINDER TRANSVERSE FRONT,2.5,MANUAL - FRONT WHEEL DRIVE,32.5,1495.0,1495.0,4420.0,1730.0,2700.0,333.0,1065.0,0.0,77530e2f2629924284c33a6b2d1f4ce364a095faa7b364fd5e13c4b4e81402ef
7365,2011-02-25,side,side,side_pole_load_cell_8,51,1,subject_vehicle,single_vehicle_inferred_subject,1G4HA5EM7BU130812,BUICK,LUCERNE,2011,FOUR DOOR SEDAN,V6 TRANSVERSE FRONT,3.9,AUTOMATIC - FRONT WHEEL DRIVE,32.3,1864.0,1738.0,5190.0,1849.0,2937.0,451.0,1274.0,0.0,f8cff30cb75d1a04f5452457d2cf06d4ee3cb142f92e17aaa4e8353ae6a080ef
