anomaly_group,category,rows,ab_rows,x_rows,frontal_barrier_rows,side_rows,side_impactor_rows,rear_rows
engineering_inconsistency,cmean_negative,13,13,0,0,13,0,0
engineering_inconsistency,crhdst_dpd_disagreement,30,28,2,13,16,1,0
engineering_inconsistency,damdst_out_of_range,4,4,0,4,0,0,0
engineering_inconsistency,lencnt_out_of_range,84,34,18,32,30,4,18
engineering_inconsistency,negative_dpd_present,447,447,0,9,244,189,5
engineering_inconsistency,pdof_family_mismatch,195,151,19,0,169,0,26
engineering_inconsistency,side_imppnt_mismatch,101,88,0,0,35,66,0
statistical_outlier,high_C_max_norm,97,,,,,,
statistical_outlier,high_C_mean_norm,87,,,,,,
audit_only_exclusion,audit_only_or_excluded_rows,2792,,2545,2,8,605,36
