category,flag,test_id,test_no,vehicle_id,impact_family,vehicle_role,quality_tier,is_profile_tier,is_audit_only_tier,VDI,PDOF,CRHDST,C_profile_max_mm,C_mean_mm,reason
pdof_family_mismatch,flag_pdof_family_mismatch,8,7340,11,side,subject_vehicle,B_ProfilePartial,1,0,0,0.0,524.0,502.0,238.6,pdof_family_mismatch
side_imppnt_mismatch,flag_side_imppnt_mismatch,8,7340,11,side,subject_vehicle,B_ProfilePartial,1,0,0,0.0,524.0,502.0,238.6,side_imppnt_mismatch
negative_dpd_present,flag_dpd_negative,20,7353,28,side_impactor,subject_vehicle,A_ProfileValid,1,0,03LPAW2,297.0,231.0,232.0,98.8,negative_dpd_present
damdst_out_of_range,flag_damdst_out_of_range,30,7359,41,frontal_barrier,subject_vehicle,B_ProfilePartial,1,0,12FDEW2,0.0,496.0,504.0,473.4,damdst_out_of_range
side_imppnt_mismatch,flag_side_imppnt_mismatch,35,7363,49,side_impactor,subject_vehicle,A_ProfileValid,1,0,03LPAW2,297.0,318.0,324.0,188.2,side_imppnt_mismatch
negative_dpd_present,flag_dpd_negative,33,7364,45,side_impactor,subject_vehicle,A_ProfileValid,1,0,03LPAW2,297.0,234.0,240.0,153.9,negative_dpd_present
negative_dpd_present,flag_dpd_negative,40,7367,56,side_impactor,subject_vehicle,A_ProfileValid,1,0,03LPAW2,297.0,203.0,198.0,84.9,negative_dpd_present
crhdst_dpd_disagreement,flag_crhdst_lt_dpdmax,128,7419,151,frontal_barrier,subject_vehicle,A_ProfileValid,1,0,12FDEW6,0.0,533.0,618.0,556.5,crhdst_dpd_disagreement
negative_dpd_present,flag_dpd_negative,181,7439,211,side_impactor,subject_vehicle,A_ProfileValid,1,0,03LPAW2,297.0,235.0,244.0,104.6,negative_dpd_present
side_imppnt_mismatch,flag_side_imppnt_mismatch,225,7465,268,side_impactor,subject_vehicle,A_ProfileValid,1,0,10LPAW3,297.0,197.0,174.0,112.3,side_imppnt_mismatch
negative_dpd_present,flag_dpd_negative,226,7470,270,side_impactor,subject_vehicle,A_ProfileValid,1,0,10LPAW3,297.0,236.0,215.0,135.9,negative_dpd_present
crhdst_dpd_disagreement,flag_crhdst_lt_dpdmax,240,7477,286,side,subject_vehicle,B_ProfilePartial,1,0,10LPAN3,0.0,392.0,1422.0,735.6000000000001,crhdst_dpd_disagreement
pdof_family_mismatch,flag_pdof_family_mismatch,240,7477,286,side,subject_vehicle,B_ProfilePartial,1,0,10LPAN3,0.0,392.0,1422.0,735.6000000000001,pdof_family_mismatch
side_imppnt_mismatch,flag_side_imppnt_mismatch,240,7477,286,side,subject_vehicle,B_ProfilePartial,1,0,10LPAN3,0.0,392.0,1422.0,735.6000000000001,side_imppnt_mismatch
negative_dpd_present,flag_dpd_negative,245,7484,293,side_impactor,subject_vehicle,A_ProfileValid,1,0,09LPEW2,297.0,202.0,199.0,107.1,negative_dpd_present
pdof_family_mismatch,flag_pdof_family_mismatch,263,7487,312,side,subject_vehicle,C_MaxOnly,0,0,,345.0,588.0,,,pdof_family_mismatch
lencnt_out_of_range,flag_lencnt_out_of_range,263,7487,312,side,subject_vehicle,C_MaxOnly,0,0,,345.0,588.0,,,lencnt_out_of_range
negative_dpd_present,flag_dpd_negative,268,7496,319,side,subject_vehicle,B_ProfilePartial,1,0,09LPAN3,0.0,392.0,392.0,160.9,negative_dpd_present
pdof_family_mismatch,flag_pdof_family_mismatch,268,7496,319,side,subject_vehicle,B_ProfilePartial,1,0,09LPAN3,0.0,392.0,392.0,160.9,pdof_family_mismatch
negative_dpd_present,flag_dpd_negative,276,7508,330,side_impactor,subject_vehicle,A_ProfileValid,1,0,09LPEW2,297.0,174.0,174.0,109.2,negative_dpd_present
side_imppnt_mismatch,flag_side_imppnt_mismatch,276,7508,330,side_impactor,subject_vehicle,A_ProfileValid,1,0,09LPEW2,297.0,174.0,174.0,109.2,side_imppnt_mismatch
pdof_family_mismatch,flag_pdof_family_mismatch,281,7512,337,side,subject_vehicle,C_MaxOnly,0,0,,345.0,520.0,,,pdof_family_mismatch
