mode,impact_family,n_total_ab,n_used,n_excluded_negative_dpd,negative_dpd_count,cmean_negative_count,C_mean_norm_median,C_mean_norm_iqr,C_mean_norm_p05,C_mean_norm_p95,C_max_norm_median,A_crush_norm_median,A_crush_norm_iqr,asymmetry_median,centroid_norm_median,interpretation_scope
signed,frontal_barrier,670,670,0,9,0,0.08727981015095837,0.02641334190040172,0.04228353562218717,0.11883924757349121,0.10078093393842241,0.0657682841929353,0.02183077522912711,0.0005676894883595619,2.004507330089459e-05,family_descriptive
signed,side,477,477,0,244,13,0.06544554455445543,0.04290324968539492,0.020308953628847513,0.12762569666304482,0.18028465998945703,0.025475396273859138,0.011326382273481969,-0.2084375,-0.022627445760681486,family_descriptive
signed,side_impactor,544,544,0,189,0,0.06742992448282725,0.02630192374803618,0.038701567903253464,0.10695075495923233,0.11167929292929293,0.03480254481124571,0.014538796389965927,-0.00572558675939943,-0.0016185915832011742,family_descriptive
signed,rear,14,14,0,5,0,0.04018560907585797,0.05733751851672693,0.0036032234693938988,0.11618570213639492,0.05331862511662423,0.018847527088701917,0.049014710869439364,-0.008108265447886058,0.014590314154027118,descriptive_only
clipped_zero,frontal_barrier,670,670,0,9,0,0.08727981015095837,0.02641334190040172,0.04228353562218717,0.11883924757349121,0.10078093393842241,0.0657682841929353,0.02183077522912711,0.0006246365544093649,2.004507330089459e-05,family_descriptive
clipped_zero,side,477,477,0,244,0,0.06735469853340575,0.04072479127763498,0.02370293210912296,0.12859432712215318,0.18028465998945703,0.026080073158971845,0.01106604678320509,-0.21032649962034927,-0.024761217866158366,family_descriptive
clipped_zero,side_impactor,544,544,0,189,0,0.06749367876645407,0.025837122038344318,0.039559244831015555,0.10695075495923233,0.11167929292929293,0.035011002294320484,0.014451775920661367,-0.006567365999568805,-0.0014419514075615816,family_descriptive
clipped_zero,rear,14,14,0,5,0,0.04053209608259522,0.056836974144865396,0.003753108173467688,0.11618570213639492,0.05331862511662423,0.01941531869974231,0.04857363650108831,-0.008108265447886058,0.014590314154027118,descriptive_only
exclude_negative_row,frontal_barrier,670,661,9,9,0,0.08738589211618258,0.02618948710680062,0.04401673640167364,0.11898311739301137,0.10090817356205853,0.06591883322266447,0.02154436212782076,0.0006796116504854495,3.414041798734477e-05,family_descriptive
exclude_negative_row,side,477,233,244,244,0,0.08576548899129545,0.04423669660467636,0.043178718773215344,0.14338736913204997,0.18972972972972973,0.027413986388694963,0.014170277849448187,-0.042005861282969716,-0.0012450114343169345,family_descriptive
exclude_negative_row,side_impactor,544,355,189,189,0,0.07427363972530375,0.02604678741444684,0.04197772592562793,0.10949618798955613,0.11696202531645569,0.03672113495767079,0.014936498929737085,-0.00019149751053236308,-0.0008980791671460334,family_descriptive
exclude_negative_row,rear,14,9,5,5,0,0.0651549169286035,0.025021454833839676,0.004726309794531812,0.13090733295209603,0.0846016114592659,0.05586043221093879,0.03865845959103125,-0.046864231564438315,-0.06649779806678516,descriptive_only
