test_id,test_no,vehicle_id,impact_family,vehicle_role,damage_face,profile_axis,crush_axis,point_index,dpd_value_mm,s_local_mm,s_vehicle_mm,s_norm,lencnt_mm,damdst_mm,quality_tier,source
1,7201,1,frontal_barrier,subject_vehicle,front,Y,X,1,267.0,-757.0,-757.0,-0.5,1514.0,0.0,A_ProfileValid,raw_json_with_canonical_fallback
1,7201,1,frontal_barrier,subject_vehicle,front,Y,X,2,402.0,-454.2,-454.2,-0.3,1514.0,0.0,A_ProfileValid,raw_json_with_canonical_fallback
1,7201,1,frontal_barrier,subject_vehicle,front,Y,X,3,444.0,-151.39999999999998,-151.39999999999998,-0.09999999999999999,1514.0,0.0,A_ProfileValid,raw_json_with_canonical_fallback
1,7201,1,frontal_barrier,subject_vehicle,front,Y,X,4,442.0,151.39999999999998,151.39999999999998,0.09999999999999999,1514.0,0.0,A_ProfileValid,raw_json_with_canonical_fallback
1,7201,1,frontal_barrier,subject_vehicle,front,Y,X,5,399.0,454.20000000000005,454.20000000000005,0.30000000000000004,1514.0,0.0,A_ProfileValid,raw_json_with_canonical_fallback
1,7201,1,frontal_barrier,subject_vehicle,front,Y,X,6,274.0,757.0,757.0,0.5,1514.0,0.0,A_ProfileValid,raw_json_with_canonical_fallback
2,7202,2,side,subject_vehicle,side_unknown,X,Y,1,0.0,-1425.0,-1486.0,-0.5,2850.0,-61.0,C_MaxOnly,raw_json_with_canonical_fallback
2,7202,2,side,subject_vehicle,side_unknown,X,Y,2,0.0,-855.0,-916.0,-0.3,2850.0,-61.0,C_MaxOnly,raw_json_with_canonical_fallback
2,7202,2,side,subject_vehicle,side_unknown,X,Y,3,0.0,-285.0,-346.0,-0.1,2850.0,-61.0,C_MaxOnly,raw_json_with_canonical_fallback
2,7202,2,side,subject_vehicle,side_unknown,X,Y,4,0.0,285.0,224.0,0.1,2850.0,-61.0,C_MaxOnly,raw_json_with_canonical_fallback
2,7202,2,side,subject_vehicle,side_unknown,X,Y,5,0.0,855.0,794.0,0.3,2850.0,-61.0,C_MaxOnly,raw_json_with_canonical_fallback
2,7202,2,side,subject_vehicle,side_unknown,X,Y,6,0.0,1425.0,1364.0,0.5,2850.0,-61.0,C_MaxOnly,raw_json_with_canonical_fallback
3,7203,3,frontal_barrier,subject_vehicle,front,Y,X,1,321.0,-725.0,-725.0,-0.5,1450.0,0.0,A_ProfileValid,raw_json_with_canonical_fallback
3,7203,3,frontal_barrier,subject_vehicle,front,Y,X,2,395.0,-435.0,-435.0,-0.3,1450.0,0.0,A_ProfileValid,raw_json_with_canonical_fallback
3,7203,3,frontal_barrier,subject_vehicle,front,Y,X,3,502.0,-145.0,-145.0,-0.1,1450.0,0.0,A_ProfileValid,raw_json_with_canonical_fallback
3,7203,3,frontal_barrier,subject_vehicle,front,Y,X,4,511.0,145.0,145.0,0.1,1450.0,0.0,A_ProfileValid,raw_json_with_canonical_fallback
3,7203,3,frontal_barrier,subject_vehicle,front,Y,X,5,435.0,435.0,435.0,0.3,1450.0,0.0,A_ProfileValid,raw_json_with_canonical_fallback
3,7203,3,frontal_barrier,subject_vehicle,front,Y,X,6,324.0,725.0,725.0,0.5,1450.0,0.0,A_ProfileValid,raw_json_with_canonical_fallback
4,7204,5,side_impactor,subject_vehicle,side_unknown,X,Y,1,0.0,-1500.0,-1898.0,-0.5,3000.0,-398.0,A_ProfileValid,raw_json_with_canonical_fallback
4,7204,5,side_impactor,subject_vehicle,side_unknown,X,Y,2,253.0,-900.0,-1298.0,-0.3,3000.0,-398.0,A_ProfileValid,raw_json_with_canonical_fallback
4,7204,5,side_impactor,subject_vehicle,side_unknown,X,Y,3,248.0,-300.0,-698.0,-0.1,3000.0,-398.0,A_ProfileValid,raw_json_with_canonical_fallback
4,7204,5,side_impactor,subject_vehicle,side_unknown,X,Y,4,244.0,300.0,-98.0,0.1,3000.0,-398.0,A_ProfileValid,raw_json_with_canonical_fallback
4,7204,5,side_impactor,subject_vehicle,side_unknown,X,Y,5,120.0,900.0,502.0,0.3,3000.0,-398.0,A_ProfileValid,raw_json_with_canonical_fallback
4,7204,5,side_impactor,subject_vehicle,side_unknown,X,Y,6,0.0,1500.0,1102.0,0.5,3000.0,-398.0,A_ProfileValid,raw_json_with_canonical_fallback
6,7259,9,side_impactor,subject_vehicle,side_unknown,X,Y,1,0.0,-1350.0,-670.0,-0.5,2700.0,680.0,A_ProfileValid,raw_json_with_canonical_fallback
6,7259,9,side_impactor,subject_vehicle,side_unknown,X,Y,2,13.0,-810.0,-130.0,-0.3,2700.0,680.0,A_ProfileValid,raw_json_with_canonical_fallback
6,7259,9,side_impactor,subject_vehicle,side_unknown,X,Y,3,212.0,-270.0,410.0,-0.1,2700.0,680.0,A_ProfileValid,raw_json_with_canonical_fallback
6,7259,9,side_impactor,subject_vehicle,side_unknown,X,Y,4,217.0,270.0,950.0,0.1,2700.0,680.0,A_ProfileValid,raw_json_with_canonical_fallback
6,7259,9,side_impactor,subject_vehicle,side_unknown,X,Y,5,176.0,810.0,1490.0,0.3,2700.0,680.0,A_ProfileValid,raw_json_with_canonical_fallback
6,7259,9,side_impactor,subject_vehicle,side_unknown,X,Y,6,0.0,1350.0,2030.0,0.5,2700.0,680.0,A_ProfileValid,raw_json_with_canonical_fallback
7,7339,10,frontal_barrier,subject_vehicle,front,Y,X,1,433.0,-556.0,-556.0,-0.5,1112.0,0.0,A_ProfileValid,raw_json_with_canonical_fallback
7,7339,10,frontal_barrier,subject_vehicle,front,Y,X,2,506.0,-333.6,-333.6,-0.30000000000000004,1112.0,0.0,A_ProfileValid,raw_json_with_canonical_fallback
7,7339,10,frontal_barrier,subject_vehicle,front,Y,X,3,536.0,-111.19999999999999,-111.19999999999999,-0.09999999999999999,1112.0,0.0,A_ProfileValid,raw_json_with_canonical_fallback
7,7339,10,frontal_barrier,subject_vehicle,front,Y,X,4,528.0,111.20000000000005,111.20000000000005,0.10000000000000005,1112.0,0.0,A_ProfileValid,raw_json_with_canonical_fallback
7,7339,10,frontal_barrier,subject_vehicle,front,Y,X,5,495.0,333.6,333.6,0.30000000000000004,1112.0,0.0,A_ProfileValid,raw_json_with_canonical_fallback
7,7339,10,frontal_barrier,subject_vehicle,front,Y,X,6,423.0,556.0,556.0,0.5,1112.0,0.0,A_ProfileValid,raw_json_with_canonical_fallback
8,7340,11,side,subject_vehicle,side_unknown,X,Y,1,0.0,-950.0,-613.0,-0.5,1900.0,337.0,B_ProfilePartial,raw_json_with_canonical_fallback
8,7340,11,side,subject_vehicle,side_unknown,X,Y,2,151.0,-570.0,-233.0,-0.3,1900.0,337.0,B_ProfilePartial,raw_json_with_canonical_fallback
8,7340,11,side,subject_vehicle,side_unknown,X,Y,3,251.0,-190.0,147.0,-0.1,1900.0,337.0,B_ProfilePartial,raw_json_with_canonical_fallback
8,7340,11,side,subject_vehicle,side_unknown,X,Y,4,502.0,190.0,527.0,0.1,1900.0,337.0,B_ProfilePartial,raw_json_with_canonical_fallback
8,7340,11,side,subject_vehicle,side_unknown,X,Y,5,289.0,570.0,907.0,0.3,1900.0,337.0,B_ProfilePartial,raw_json_with_canonical_fallback
8,7340,11,side,subject_vehicle,side_unknown,X,Y,6,0.0,950.0,1287.0,0.5,1900.0,337.0,B_ProfilePartial,raw_json_with_canonical_fallback
9,7341,13,side_impactor,subject_vehicle,side_unknown,X,Y,1,0.0,-1350.0,-672.0,-0.5,2700.0,678.0,A_ProfileValid,raw_json_with_canonical_fallback
9,7341,13,side_impactor,subject_vehicle,side_unknown,X,Y,2,0.0,-810.0,-132.0,-0.3,2700.0,678.0,A_ProfileValid,raw_json_with_canonical_fallback
9,7341,13,side_impactor,subject_vehicle,side_unknown,X,Y,3,136.0,-270.0,408.0,-0.1,2700.0,678.0,A_ProfileValid,raw_json_with_canonical_fallback
9,7341,13,side_impactor,subject_vehicle,side_unknown,X,Y,4,166.0,270.0,948.0,0.1,2700.0,678.0,A_ProfileValid,raw_json_with_canonical_fallback
9,7341,13,side_impactor,subject_vehicle,side_unknown,X,Y,5,194.0,810.0,1488.0,0.3,2700.0,678.0,A_ProfileValid,raw_json_with_canonical_fallback
9,7341,13,side_impactor,subject_vehicle,side_unknown,X,Y,6,0.0,1350.0,2028.0,0.5,2700.0,678.0,A_ProfileValid,raw_json_with_canonical_fallback
