category,test_id,test_no,vehicle_id,impact_family,vehicle_role,quality_tier,outlier_type,metric,value,comparator,VDI,PDOF,CRHDST,C_profile_max_mm,reason
high_C_max_norm,8,7340,11,side,subject_vehicle,B_ProfilePartial,high_C_max_norm,C_max_norm,0.30045871559633025,0.2575310100413467,0,0.0,524.0,502.0,high_C_max_norm
high_C_mean_norm,8,7340,11,side,subject_vehicle,B_ProfilePartial,high_C_mean_norm,C_mean_norm,0.1368119266055046,0.12762569666304482,0,0.0,524.0,502.0,high_C_mean_norm
high_C_max_norm,19,7349,26,side,subject_vehicle,C_MaxOnly,high_C_max_norm,C_max_norm,0.29924433249370275,0.2575310100413467,09LPEW2,285.0,594.0,,high_C_max_norm
high_C_max_norm,22,7351,30,side,subject_vehicle,C_MaxOnly,high_C_max_norm,C_max_norm,0.2875816993464052,0.2575310100413467,09LPEW2,285.0,572.0,,high_C_max_norm
high_C_max_norm,23,7352,32,side_impactor,subject_vehicle,A_ProfileValid,high_C_max_norm,C_max_norm,0.15903371917463513,0.15611387289958717,10LPAW3,297.0,316.0,316.0,high_C_max_norm
high_C_max_norm,35,7363,49,side_impactor,subject_vehicle,A_ProfileValid,high_C_max_norm,C_max_norm,0.1719848566792861,0.15611387289958717,03LPAW2,297.0,318.0,324.0,high_C_max_norm
high_C_max_norm,123,7417,146,frontal_barrier,subject_vehicle,A_ProfileValid,high_C_max_norm,C_max_norm,0.13585291113381,0.13424949728416466,12FDEW6,0.0,665.0,489.0,high_C_max_norm
high_C_mean_norm,128,7419,151,frontal_barrier,subject_vehicle,A_ProfileValid,high_C_mean_norm,C_mean_norm,0.1251968503937008,0.11883924757349121,12FDEW6,0.0,533.0,618.0,high_C_mean_norm
high_C_max_norm,221,7463,262,side,subject_vehicle,C_MaxOnly,high_C_max_norm,C_max_norm,0.2730245231607629,0.2575310100413467,09LPEW2,285.0,501.0,,high_C_max_norm
high_C_mean_norm,240,7477,286,side,subject_vehicle,B_ProfilePartial,high_C_mean_norm,C_mean_norm,0.40821309655937854,0.12762569666304482,10LPAN3,0.0,392.0,1422.0,high_C_mean_norm
high_C_max_norm,237,7479,283,side_impactor,subject_vehicle,C_MaxOnly,high_C_max_norm,C_max_norm,0.17541899441340783,0.15611387289958717,03LPAW2,297.0,314.0,,high_C_max_norm
high_C_max_norm,246,7485,294,side,subject_vehicle,C_MaxOnly,high_C_max_norm,C_max_norm,0.2687395891171571,0.2575310100413467,09LPEW2,285.0,484.0,,high_C_max_norm
high_C_max_norm,263,7487,312,side,subject_vehicle,C_MaxOnly,high_C_max_norm,C_max_norm,0.2975708502024291,0.2575310100413467,,345.0,588.0,,high_C_max_norm
high_C_mean_norm,261,7488,310,frontal_barrier,subject_vehicle,A_ProfileValid,high_C_mean_norm,C_mean_norm,0.11898311739301137,0.11883924757349121,12FDEW3,0.0,674.0,666.0,high_C_mean_norm
high_C_max_norm,279,7509,335,frontal_barrier,subject_vehicle,A_ProfileValid,high_C_max_norm,C_max_norm,0.13527851458885942,0.13424949728416466,12FDEW6,0.0,765.0,696.0,high_C_max_norm
high_C_max_norm,281,7512,337,side,subject_vehicle,C_MaxOnly,high_C_max_norm,C_max_norm,0.2619647355163728,0.2575310100413467,,345.0,520.0,,high_C_max_norm
high_C_max_norm,285,7519,343,side_impactor,subject_vehicle,A_ProfileValid,high_C_max_norm,C_max_norm,0.16619876473891074,0.15611387289958717,10LPAW3,297.0,296.0,288.0,high_C_max_norm
high_C_mean_norm,285,7519,343,side_impactor,subject_vehicle,A_ProfileValid,high_C_mean_norm,C_mean_norm,0.10696238068500842,0.10695075495923233,10LPAW3,297.0,296.0,288.0,high_C_mean_norm
high_C_max_norm,339,7589,411,side_impactor,subject_vehicle,C_MaxOnly,high_C_max_norm,C_max_norm,0.15868263473053892,0.15611387289958717,03LPAW2,297.0,318.0,,high_C_max_norm
high_C_max_norm,374,7628,452,frontal_barrier,subject_vehicle,A_ProfileValid,high_C_max_norm,C_max_norm,0.13435448577680525,0.13424949728416466,12FDEW3,0.0,614.0,614.0,high_C_max_norm
high_C_mean_norm,374,7628,452,frontal_barrier,subject_vehicle,A_ProfileValid,high_C_mean_norm,C_mean_norm,0.1235886214442013,0.11883924757349121,12FDEW3,0.0,614.0,614.0,high_C_mean_norm
high_C_max_norm,381,7636,461,side_impactor,subject_vehicle,A_ProfileValid,high_C_max_norm,C_max_norm,0.18890200708382526,0.15611387289958717,10LPAW3,297.0,320.0,317.0,high_C_max_norm
high_C_mean_norm,381,7636,461,side_impactor,subject_vehicle,A_ProfileValid,high_C_mean_norm,C_mean_norm,0.11340023612750885,0.10695075495923233,10LPAW3,297.0,320.0,317.0,high_C_mean_norm
high_C_max_norm,389,7638,470,side,subject_vehicle,C_MaxOnly,high_C_max_norm,C_max_norm,0.29076838032061914,0.2575310100413467,09LPEW2,285.0,526.0,,high_C_max_norm
high_C_max_norm,15,7646,21,side_impactor,subject_vehicle,A_ProfileValid,high_C_max_norm,C_max_norm,0.15612535612535614,0.15611387289958717,09LPEW3,297.0,274.0,260.0,high_C_max_norm
high_C_max_norm,408,7650,492,side_impactor,subject_vehicle,A_ProfileValid,high_C_max_norm,C_max_norm,0.20226377952755906,0.15611387289958717,10LPAW3,297.0,411.0,411.0,high_C_max_norm
high_C_mean_norm,408,7650,492,side_impactor,subject_vehicle,A_ProfileValid,high_C_mean_norm,C_mean_norm,0.128494094488189,0.10695075495923233,10LPAW3,297.0,411.0,411.0,high_C_mean_norm
high_C_max_norm,403,7651,486,side,subject_vehicle,C_MaxOnly,high_C_max_norm,C_max_norm,0.34535573122529645,0.2575310100413467,09LPEW2,285.0,699.0,,high_C_max_norm
high_C_mean_norm,428,7732,515,frontal_barrier,subject_vehicle,A_ProfileValid,high_C_mean_norm,C_mean_norm,0.11910757676165232,0.11883924757349121,12FDEW6,0.0,587.0,587.0,high_C_mean_norm
