test_id,test_no,vehicle_id,source_vehicle_no,impact_family,vehicle_role,quality_tier,flag_all_zero_placeholder,flag_not_subject_vehicle,flag_dpd_all_zero,flag_crhdst_missing_or_zero,flag_vdi_unusable,flag_lencnt_missing,flag_damdst_missing,flag_lencnt_out_of_range,flag_damdst_out_of_range,flag_crhdst_lt_dpdmax,flag_pdof_family_mismatch,flag_side_imppnt_mismatch,flag_axbx_all_missing,flag_axbx_no_delta,flag_rear_low_confidence,flag_not_target_family,exclusion_reason
128,7419,151,1,frontal_barrier,subject_vehicle,A_ProfileValid,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
240,7477,286,1,side,subject_vehicle,B_ProfilePartial,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,
630,7993,753,1,frontal_barrier,subject_vehicle,A_ProfileValid,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
592,8061,709,1,frontal_barrier,subject_vehicle,X_Exclude,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,insufficient_deformation_signal
661,8062,792,1,frontal_barrier,subject_vehicle,X_Exclude,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,insufficient_deformation_signal
726,8064,872,1,frontal_barrier,subject_vehicle,A_ProfileValid,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
1110,8318,1311,1,side,subject_vehicle,A_ProfileValid,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
1154,8386,1362,1,side,subject_vehicle,A_ProfileValid,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
1160,8403,1371,1,side,subject_vehicle,A_ProfileValid,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
1182,8406,1397,1,side,subject_vehicle,A_ProfileValid,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
1188,8408,1406,1,side,subject_vehicle,A_ProfileValid,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
1215,8454,1445,1,side,subject_vehicle,A_ProfileValid,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
1225,8461,1459,1,side,subject_vehicle,A_ProfileValid,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
1236,8469,1475,1,side,subject_vehicle,A_ProfileValid,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
1240,8479,1480,1,side,subject_vehicle,A_ProfileValid,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,
1289,8534,1551,1,side,subject_vehicle,A_ProfileValid,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
1327,8558,1594,1,side,subject_vehicle,A_ProfileValid,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
1330,8568,1598,1,side,subject_vehicle,A_ProfileValid,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
1429,8755,1704,1,frontal_barrier,subject_vehicle,A_ProfileValid,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
1507,8985,1805,1,side,subject_vehicle,A_ProfileValid,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
1768,9471,2123,2,side_impactor,subject_vehicle,A_ProfileValid,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
2054,9783,2462,1,side,subject_vehicle,A_ProfileValid,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,
2552,10169,3037,1,frontal_barrier,subject_vehicle,A_ProfileValid,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
2890,10772,3436,1,side,subject_vehicle,A_ProfileValid,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
3350,11663,3998,1,frontal_barrier,subject_vehicle,A_ProfileValid,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,
3449,14214,4112,1,frontal_barrier,subject_vehicle,A_ProfileValid,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,
3460,14242,4127,1,frontal_barrier,subject_vehicle,A_ProfileValid,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
3485,14258,4159,1,frontal_barrier,subject_vehicle,A_ProfileValid,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,
3503,14290,4184,1,frontal_barrier,subject_vehicle,A_ProfileValid,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,
3551,14381,4250,1,frontal_barrier,subject_vehicle,A_ProfileValid,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,
