test_id,test_no,vehicle_id,source_vehicle_no,impact_family,vehicle_role,quality_tier,flag_all_zero_placeholder,flag_not_subject_vehicle,flag_dpd_all_zero,flag_crhdst_missing_or_zero,flag_vdi_unusable,flag_lencnt_missing,flag_damdst_missing,flag_lencnt_out_of_range,flag_damdst_out_of_range,flag_crhdst_lt_dpdmax,flag_pdof_family_mismatch,flag_side_imppnt_mismatch,flag_axbx_all_missing,flag_axbx_no_delta,flag_rear_low_confidence,flag_not_target_family,exclusion_reason
2,7202,2,1,side,subject_vehicle,C_MaxOnly,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,7204,4,1,side_impactor,impactor_vehicle,X_Exclude,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,not_subject_vehicle
4,7204,5,2,side_impactor,subject_vehicle,A_ProfileValid,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
6,7259,8,1,side_impactor,impactor_vehicle,X_Exclude,1,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0,not_subject_vehicle
6,7259,9,2,side_impactor,subject_vehicle,A_ProfileValid,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,
8,7340,11,1,side,subject_vehicle,B_ProfilePartial,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,
9,7341,12,1,side_impactor,impactor_vehicle,X_Exclude,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,not_subject_vehicle
9,7341,13,2,side_impactor,subject_vehicle,A_ProfileValid,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,
11,7343,15,1,side_impactor,impactor_vehicle,X_Exclude,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,not_subject_vehicle
11,7343,16,2,side_impactor,subject_vehicle,A_ProfileValid,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
12,7344,17,1,side,subject_vehicle,C_MaxOnly,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
13,7345,18,1,side,subject_vehicle,C_MaxOnly,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,
16,7346,22,1,side_impactor,impactor_vehicle,X_Exclude,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,not_subject_vehicle
16,7346,23,2,side_impactor,subject_vehicle,A_ProfileValid,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
17,7348,24,1,side,subject_vehicle,C_MaxOnly,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
19,7349,26,1,side,subject_vehicle,C_MaxOnly,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,
22,7351,30,1,side,subject_vehicle,C_MaxOnly,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,
