test_id,test_no,vehicle_id,source_vehicle_no,impact_family,vehicle_role,quality_tier,MAKE,MODEL,YEAR,BODYD,VDI,vdi_usable,PDOF,LENCNT,DAMDST,CRHDST,DPD1,DPD2,DPD3,DPD4,DPD5,DPD6,C_profile_max_mm,C_mean_mm,C_rms_mm,A_crush_2d_mm2,C_peak_ratio,asymmetry,centroid_norm,L_norm,C_mean_norm,C_max_norm,A_crush_norm,D_offset_norm,AXBX_delta_summary,front_total_length_shortening,front_structural_delta_median,front_left_right_bumper_asymmetry,rear_total_length_shortening,speed_kph,speed_source,speed_mps,KE_proxy,VEHTWT,CURBWT,VEHLEN,VEHWID,WHLBAS,VEHCG,closingSpeed,vehicleSpeed,impactAngle,offsetDistance,IMPPNT,CRBANG,CARANG,VEHOR,BMPENGD,SILENGD,APLENGD,testConfigurationKey
1335,8590,1604,1,frontal_barrier,subject_vehicle,A_ProfileValid,SUBARU,IMPREZA,2014,STATION WAGON,12FDEW3,1,0.0,976.0,-701.0,549.0,468.0,536.0,549.0,549.0,545.0,490.0,549.0,531.6,532.294091644835,518841.6,1.0327313769751691,0.007524454477050413,0.0034609031075131798,0.5609195402298851,0.12029871011541073,0.12423625254582485,0.0674778971681844,-0.8057471264367816,"{""a_pillar_base_asym_delta"": -1.0, ""delta_1"": 440.0, ""delta_10"": 4.0, ""delta_11"": 0.0, ""delta_12"": 24.0, ""delta_13"": 23.0, ""delta_14"": 27.0, ""delta_15"": 14.0, ""delta_16"": -55.0, ""delta_17"": 3.0, ""delta_18"": 3.0, ""delta_19"": 457.0, ""delta_2"": 234.0, ""delta_20"": 426.0, ""delta_21"": 0.0, ""delta_3"": null, ""delta_4"": 2.0, ""delta_5"": 1.0, ""delta_6"": 5.0, ""delta_7"": 0.0, ""delta_8"": 1.0, ""delta_9"": 0.0, ""door_leading_lower_asym_delta"": -5.0, ""door_leading_upper_asym_delta"": -1.0, ""door_trailing_lower_asym_delta"": -4.0, ""door_trailing_upper_asym_delta"": -1.0, ""firewall_side_asym_delta"": -13.0, ""front_bumper_left_delta"": 426.0, ""front_bumper_right_delta"": 457.0, ""front_engine_block_delta"": 0.0, ""front_engine_front_delta"": 234.0, ""front_firewall_center_delta"": null, ""front_firewall_left_delta"": 14.0, ""front_firewall_right_delta"": 27.0, ""front_left_right_asym_delta"": -31.0, ""front_left_right_bumper_asymmetry"": -31.0, ""front_structural_delta"": 234.0, ""front_structural_delta_median"": 234.0, ""front_total_length_shortening"": 440.0, ""rear_total_length_shortening"": null, ""total_length_shortening"": 440.0}",440.0,234.0,-31.0,,56.5,closingSpeed,15.694444444444445,189416.6859567901,1538.0,1337.0,4419.0,1740.0,2654.0,1189.0,56.5,56.5,0.0,0.0,0.0,0.0,0.0,0.0,DIRECT ENGAGEMENT,NOT APPLICABLE,NOT APPLICABLE,VTB
1332,8588,1601,1,frontal_barrier,subject_vehicle,A_ProfileValid,NISSAN,ROGUE,2014,UTILITY VEHICLE,12FDEW3,1,0.0,1041.0,-714.0,453.0,370.0,430.0,446.0,453.0,444.0,394.0,453.0,431.0,431.7937007414536,448671.0,1.051044083526682,0.014501160092807424,0.005770282554111174,0.5704109589041096,0.09280792420327304,0.09754521963824289,0.0529386570386889,-0.7824657534246575,"{""a_pillar_base_asym_delta"": -101.0, ""delta_1"": 462.0, ""delta_10"": 4.0, ""delta_11"": 4.0, ""delta_12"": 90.0, ""delta_13"": -11.0, ""delta_14"": 86.0, ""delta_15"": 35.0, ""delta_16"": -42.0, ""delta_17"": -1.0, ""delta_18"": 17.0, ""delta_19"": 411.0, ""delta_2"": 166.0, ""delta_20"": 371.0, ""delta_21"": 0.0, ""delta_3"": null, ""delta_4"": 6.0, ""delta_5"": 4.0, ""delta_6"": 6.0, ""delta_7"": 5.0, ""delta_8"": 4.0, ""delta_9"": 3.0, ""door_leading_lower_asym_delta"": -1.0, ""door_leading_upper_asym_delta"": -2.0, ""door_trailing_lower_asym_delta"": 0.0, ""door_trailing_upper_asym_delta"": -1.0, ""firewall_side_asym_delta"": -51.0, ""front_bumper_left_delta"": 371.0, ""front_bumper_right_delta"": 411.0, ""front_engine_block_delta"": 0.0, ""front_engine_front_delta"": 166.0, ""front_firewall_center_delta"": null, ""front_firewall_left_delta"": 35.0, ""front_firewall_right_delta"": 86.0, ""front_left_right_asym_delta"": -40.0, ""front_left_right_bumper_asymmetry"": -40.0, ""front_structural_delta"": 166.0, ""front_structural_delta_median"": 166.0, ""front_total_length_shortening"": 462.0, ""rear_total_length_shortening"": null, ""total_length_shortening"": 462.0}",462.0,166.0,-40.0,,56.59,closingSpeed,15.719444444444445,224244.0972800926,1815.0,1614.0,4644.0,1825.0,2708.0,1234.0,56.59,56.59,0.0,0.0,0.0,0.0,0.0,0.0,DIRECT ENGAGEMENT,NOT APPLICABLE,NOT APPLICABLE,VTB
1487,8909,1780,1,frontal_barrier,subject_vehicle,A_ProfileValid,KIA,FORTE,2015,FOUR DOOR SEDAN,12FDEW6,1,0.0,1636.0,0.0,389.0,254.0,309.0,367.0,389.0,307.0,218.0,389.0,321.59999999999997,326.11654358526494,526137.6,1.2095771144278609,-0.0021766169154229073,-0.008516805114698,0.9253393665158371,0.07159394479073908,0.08659839715048975,0.06624869551903233,0.0,"{""a_pillar_base_asym_delta"": 2.0, ""delta_1"": 297.0, ""delta_10"": 0.0, ""delta_11"": 0.0, ""delta_12"": 0.0, ""delta_13"": 2.0, ""delta_14"": 2.0, ""delta_15"": 4.0, ""delta_16"": -62.0, ""delta_17"": -1.0, ""delta_18"": -29.0, ""delta_19"": 218.0, ""delta_2"": 349.0, ""delta_20"": 254.0, ""delta_21"": 0.0, ""delta_3"": null, ""delta_4"": 0.0, ""delta_5"": 2.0, ""delta_6"": 4.0, ""delta_7"": 12.0, ""delta_8"": 0.0, ""delta_9"": 0.0, ""door_leading_lower_asym_delta"": 8.0, ""door_leading_upper_asym_delta"": 2.0, ""door_trailing_lower_asym_delta"": 0.0, ""door_trailing_upper_asym_delta"": 0.0, ""firewall_side_asym_delta"": 2.0, ""front_bumper_left_delta"": 254.0, ""front_bumper_right_delta"": 218.0, ""front_engine_block_delta"": 0.0, ""front_engine_front_delta"": 349.0, ""front_firewall_center_delta"": null, ""front_firewall_left_delta"": 4.0, ""front_firewall_right_delta"": 2.0, ""front_left_right_asym_delta"": 36.0, ""front_left_right_bumper_asymmetry"": 36.0, ""front_structural_delta"": 218.0, ""front_structural_delta_median"": 218.0, ""front_total_length_shortening"": 297.0, ""rear_total_length_shortening"": null, ""total_length_shortening"": 297.0}",297.0,218.0,36.0,,56.08,closingSpeed,15.577777777777778,178724.36370370368,1473.0,1293.0,4492.0,1768.0,2698.0,1125.0,56.08,56.08,0.0,0.0,0.0,0.0,0.0,0.0,DIRECT ENGAGEMENT,NOT APPLICABLE,NOT APPLICABLE,VTB
1480,8901,1771,1,frontal_barrier,subject_vehicle,A_ProfileValid,TOYOTA,TUNDRA,2014,4 DOOR PICKUP,12FDEW2,1,0.0,1492.0,0.0,370.0,370.0,342.0,329.0,322.0,340.0,335.0,370.0,337.09999999999997,337.3578219042802,502953.19999999995,1.097597152180362,-0.014684070008899427,-0.008721796639154048,0.7313725490196078,0.053524928548745625,0.058748809145760555,0.03914666342878847,0.0,"{""a_pillar_base_asym_delta"": 0.0, ""delta_1"": 324.0, ""delta_10"": 0.0, ""delta_11"": 0.0, ""delta_12"": 0.0, ""delta_13"": 0.0, ""delta_14"": 0.0, ""delta_15"": 0.0, ""delta_16"": 0.0, ""delta_17"": 0.0, ""delta_18"": 0.0, ""delta_19"": 335.0, ""delta_2"": 0.0, ""delta_20"": 370.0, ""delta_21"": 0.0, ""delta_3"": null, ""delta_4"": 0.0, ""delta_5"": 0.0, ""delta_6"": 0.0, ""delta_7"": 0.0, ""delta_8"": 0.0, ""delta_9"": 0.0, ""door_leading_lower_asym_delta"": 0.0, ""door_leading_upper_asym_delta"": 0.0, ""door_trailing_lower_asym_delta"": 0.0, ""door_trailing_upper_asym_delta"": 0.0, ""firewall_side_asym_delta"": 0.0, ""front_bumper_left_delta"": 370.0, ""front_bumper_right_delta"": 335.0, ""front_engine_block_delta"": 0.0, ""front_engine_front_delta"": 0.0, ""front_firewall_center_delta"": null, ""front_firewall_left_delta"": 0.0, ""front_firewall_right_delta"": 0.0, ""front_left_right_asym_delta"": 35.0, ""front_left_right_bumper_asymmetry"": 35.0, ""front_structural_delta"": 0.0, ""front_structural_delta_median"": 0.0, ""front_total_length_shortening"": 324.0, ""rear_total_length_shortening"": null, ""total_length_shortening"": 324.0}",324.0,0.0,35.0,,55.9,closingSpeed,15.527777777777777,350215.0096450617,2905.0,,6298.0,2040.0,4194.0,1854.0,55.9,55.9,0.0,0.0,0.0,0.0,0.0,0.0,DIRECT ENGAGEMENT,NO DIRECT ENGAGEMENT,NO DIRECT ENGAGEMENT,VTB
2272,10028,2725,1,frontal_barrier,subject_vehicle,A_ProfileValid,CADILLAC,CTS-V ,2017,FOUR DOOR SEDAN,12FDEW2,1,0.0,1528.0,0.0,476.0,165.0,349.0,427.0,414.0,341.0,197.0,427.0,342.4,353.50360677085035,523187.19999999995,1.3901869158878506,-0.0010221962616821653,0.004259545468690069,0.8479467258601554,0.06929771301356,0.09633677393240235,0.05876076885944489,0.0,"{""a_pillar_base_asym_delta"": 3.0, ""delta_1"": 476.0, ""delta_10"": 12.0, ""delta_11"": 5.0, ""delta_12"": 25.0, ""delta_13"": 28.0, ""delta_14"": 0.0, ""delta_15"": -8.0, ""delta_16"": -128.0, ""delta_17"": -4.0, ""delta_18"": -41.0, ""delta_19"": 197.0, ""delta_2"": 116.0, ""delta_20"": 165.0, ""delta_21"": 0.0, ""delta_3"": null, ""delta_4"": -1.0, ""delta_5"": -12.0, ""delta_6"": 15.0, ""delta_7"": 6.0, ""delta_8"": -8.0, ""delta_9"": -18.0, ""door_leading_lower_asym_delta"": -9.0, ""door_leading_upper_asym_delta"": -11.0, ""door_trailing_lower_asym_delta"": -7.0, ""door_trailing_upper_asym_delta"": -10.0, ""firewall_side_asym_delta"": -8.0, ""front_bumper_left_delta"": 165.0, ""front_bumper_right_delta"": 197.0, ""front_engine_block_delta"": 0.0, ""front_engine_front_delta"": 116.0, ""front_firewall_center_delta"": null, ""front_firewall_left_delta"": -8.0, ""front_firewall_right_delta"": 0.0, ""front_left_right_asym_delta"": -32.0, ""front_left_right_bumper_asymmetry"": -32.0, ""front_structural_delta"": 116.0, ""front_structural_delta_median"": 116.0, ""front_total_length_shortening"": 476.0, ""rear_total_length_shortening"": null, ""total_length_shortening"": 476.0}",476.0,116.0,-32.0,,56.25,closingSpeed,15.625,257812.5,2112.0,1913.0,4941.0,1802.0,2910.0,1455.0,56.25,56.25,0.0,0.0,0.0,0.0,0.0,0.0,DIRECT ENGAGEMENT,NOT APPLICABLE,NOT APPLICABLE,VTB
3723,14506,4465,1,frontal_barrier,subject_vehicle,A_ProfileValid,HYUNDAI,KONA ,2024,UTILITY VEHICLE,12FDEW2,1,0.0,1575.0,-29.0,253.0,197.0,244.0,253.0,247.0,236.0,177.0,253.0,233.4,234.65677062467216,367605.0,1.0839760068551842,-0.019280205655526992,-0.011989911346024559,0.8745141588006663,0.053679852805887766,0.05818767249310028,0.046943791321084526,-0.03220433092726263,"{""a_pillar_base_asym_delta"": -3.0, ""delta_1"": 345.0, ""delta_10"": 0.0, ""delta_11"": 0.0, ""delta_12"": 1.0, ""delta_13"": -2.0, ""delta_14"": 0.0, ""delta_15"": 38.0, ""delta_16"": -59.0, ""delta_17"": 6.0, ""delta_18"": -11.0, ""delta_19"": 270.0, ""delta_2"": 185.0, ""delta_20"": 286.0, ""delta_21"": 0.0, ""delta_3"": 14.0, ""delta_4"": 1.0, ""delta_5"": 0.0, ""delta_6"": -2.0, ""delta_7"": -1.0, ""delta_8"": 1.0, ""delta_9"": 0.0, ""door_leading_lower_asym_delta"": 1.0, ""door_leading_upper_asym_delta"": -1.0, ""door_trailing_lower_asym_delta"": 0.0, ""door_trailing_upper_asym_delta"": -1.0, ""firewall_side_asym_delta"": 38.0, ""front_bumper_left_delta"": 286.0, ""front_bumper_right_delta"": 270.0, ""front_engine_block_delta"": 0.0, ""front_engine_front_delta"": 185.0, ""front_firewall_center_delta"": 14.0, ""front_firewall_left_delta"": 38.0, ""front_firewall_right_delta"": 0.0, ""front_left_right_asym_delta"": 16.0, ""front_left_right_bumper_asymmetry"": 16.0, ""front_structural_delta"": 111.5, ""front_structural_delta_median"": 111.5, ""front_total_length_shortening"": 345.0, ""rear_total_length_shortening"": null, ""total_length_shortening"": 345.0}",345.0,111.5,16.0,,56.24,closingSpeed,15.622222222222222,199025.8960493827,1631.0,1446.0,4348.0,1801.0,2662.0,1116.0,56.24,56.24,0.0,0.0,0.0,0.0,0.0,0.0,DIRECT ENGAGEMENT,NOT APPLICABLE,NOT APPLICABLE,VTB
2539,10165,3023,1,frontal_barrier,subject_vehicle,A_ProfileValid,HYUNDAI,SANTA FE,2018,UTILITY VEHICLE,12FDEW2,1,0.0,1260.0,0.0,469.0,468.0,447.0,456.0,464.0,456.0,392.0,468.0,450.6,451.07006107699056,567756.0,1.0408344429649357,-0.010208610741233911,-0.009202167810223311,0.6687898089171974,0.09186544342507645,0.09561671763506625,0.06143867235435049,0.0,"{""a_pillar_base_asym_delta"": 23.0, ""delta_1"": 469.0, ""delta_10"": -2.0, ""delta_11"": 0.0, ""delta_12"": -20.0, ""delta_13"": 3.0, ""delta_14"": 68.0, ""delta_15"": 50.0, ""delta_16"": -49.0, ""delta_17"": -2.0, ""delta_18"": -33.0, ""delta_19"": 392.0, ""delta_2"": 301.0, ""delta_20"": 468.0, ""delta_21"": 0.0, ""delta_3"": null, ""delta_4"": -6.0, ""delta_5"": -7.0, ""delta_6"": -7.0, ""delta_7"": -5.0, ""delta_8"": -1.0, ""delta_9"": 0.0, ""door_leading_lower_asym_delta"": 2.0, ""door_leading_upper_asym_delta"": -1.0, ""door_trailing_lower_asym_delta"": 2.0, ""door_trailing_upper_asym_delta"": 1.0, ""firewall_side_asym_delta"": -18.0, ""front_bumper_left_delta"": 468.0, ""front_bumper_right_delta"": 392.0, ""front_engine_block_delta"": 0.0, ""front_engine_front_delta"": 301.0, ""front_firewall_center_delta"": null, ""front_firewall_left_delta"": 50.0, ""front_firewall_right_delta"": 68.0, ""front_left_right_asym_delta"": 76.0, ""front_left_right_bumper_asymmetry"": 76.0, ""front_structural_delta"": 301.0, ""front_structural_delta_median"": 301.0, ""front_total_length_shortening"": 469.0, ""rear_total_length_shortening"": null, ""total_length_shortening"": 469.0}",469.0,301.0,76.0,,55.68,closingSpeed,15.466666666666667,256202.24,2142.0,1897.0,4905.0,1884.0,2806.0,1347.0,55.68,55.68,0.0,0.0,0.0,0.0,0.0,0.0,DIRECT ENGAGEMENT,NOT APPLICABLE,NOT APPLICABLE,VTB
2501,10149,2977,1,frontal_barrier,subject_vehicle,A_ProfileValid,CHEVROLET,EQUINOX,2018,UTILITY VEHICLE,12FDEW2,1,0.0,1524.0,0.0,473.0,326.0,422.0,463.0,460.0,409.0,307.0,463.0,414.1,417.5156284500019,631088.4,1.1422361748369958,-0.01195363438782901,-0.007239213334359433,0.8373626373626374,0.08953513513513514,0.10227027027027027,0.0749733768933769,0.0,"{""a_pillar_base_asym_delta"": -67.0, ""delta_1"": 473.0, ""delta_10"": 79.0, ""delta_11"": -4.0, ""delta_12"": 108.0, ""delta_13"": 41.0, ""delta_14"": 22.0, ""delta_15"": 29.0, ""delta_16"": 20.0, ""delta_17"": -2.0, ""delta_18"": -44.0, ""delta_19"": 307.0, ""delta_2"": 261.0, ""delta_20"": 326.0, ""delta_21"": 0.0, ""delta_3"": null, ""delta_4"": 32.0, ""delta_5"": 28.0, ""delta_6"": 8.0, ""delta_7"": -5.0, ""delta_8"": 32.0, ""delta_9"": 29.0, ""door_leading_lower_asym_delta"": -13.0, ""door_leading_upper_asym_delta"": -4.0, ""door_trailing_lower_asym_delta"": -83.0, ""door_trailing_upper_asym_delta"": -3.0, ""firewall_side_asym_delta"": 7.0, ""front_bumper_left_delta"": 326.0, ""front_bumper_right_delta"": 307.0, ""front_engine_block_delta"": 0.0, ""front_engine_front_delta"": 261.0, ""front_firewall_center_delta"": null, ""front_firewall_left_delta"": 29.0, ""front_firewall_right_delta"": 22.0, ""front_left_right_asym_delta"": 19.0, ""front_left_right_bumper_asymmetry"": 19.0, ""front_structural_delta"": 261.0, ""front_structural_delta_median"": 261.0, ""front_total_length_shortening"": 473.0, ""rear_total_length_shortening"": null, ""total_length_shortening"": 473.0}",473.0,261.0,19.0,,56.81,closingSpeed,15.780555555555555,229975.4497183642,1847.0,1580.0,4625.0,1820.0,2730.0,1318.0,56.81,56.81,0.0,0.0,0.0,0.0,0.0,0.0,DIRECT ENGAGEMENT,NOT APPLICABLE,NOT APPLICABLE,VTB
590,7947,707,1,frontal_barrier,subject_vehicle,A_ProfileValid,CODA,CODA,2012,FOUR DOOR SEDAN,12FDEWX,1,0.0,1437.0,0.0,605.0,456.0,573.0,566.0,567.0,557.0,463.0,573.0,544.5,546.1822955753876,782446.5,1.1111111111111112,-0.004315886134067893,-0.0018211460699499324,0.8403508771929824,0.12181208053691275,0.13534675615212527,0.10236488873189685,0.0,"{""a_pillar_base_asym_delta"": 16.0, ""delta_1"": 605.0, ""delta_10"": 7.0, ""delta_11"": 5.0, ""delta_12"": -15.0, ""delta_13"": 1.0, ""delta_14"": 243.0, ""delta_15"": 159.0, ""delta_16"": -85.0, ""delta_17"": 10.0, ""delta_18"": 30.0, ""delta_19"": 271.0, ""delta_2"": 270.0, ""delta_20"": 268.0, ""delta_21"": 0.0, ""delta_3"": null, ""delta_4"": -5.0, ""delta_5"": -9.0, ""delta_6"": 10.0, ""delta_7"": 0.0, ""delta_8"": -9.0, ""delta_9"": -14.0, ""door_leading_lower_asym_delta"": -10.0, ""door_leading_upper_asym_delta"": -4.0, ""door_trailing_lower_asym_delta"": -2.0, ""door_trailing_upper_asym_delta"": -5.0, ""firewall_side_asym_delta"": -84.0, ""front_bumper_left_delta"": 268.0, ""front_bumper_right_delta"": 271.0, ""front_engine_block_delta"": 0.0, ""front_engine_front_delta"": 270.0, ""front_firewall_center_delta"": null, ""front_firewall_left_delta"": 159.0, ""front_firewall_right_delta"": 243.0, ""front_left_right_asym_delta"": -3.0, ""front_left_right_bumper_asymmetry"": -3.0, ""front_structural_delta"": 268.0, ""front_structural_delta_median"": 268.0, ""front_total_length_shortening"": 605.0, ""rear_total_length_shortening"": null, ""total_length_shortening"": 605.0}",605.0,268.0,-3.0,,56.8,closingSpeed,15.777777777777777,228649.8024691358,1837.0,1669.0,4470.0,1710.0,2610.0,1269.0,56.8,56.8,0.0,0.0,0.0,0.0,0.0,0.0,DIRECT ENGAGEMENT,NOT APPLICABLE,NOT APPLICABLE,VTB
2364,10075,2829,1,frontal_barrier,subject_vehicle,A_ProfileValid,MAZDA,CX-5,2017,UTILITY VEHICLE,12FDEWX,1,0.0,1514.0,0.0,465.0,177.0,360.0,410.0,414.0,403.0,247.0,414.0,359.79999999999995,368.15051269827126,544737.2,1.292384658143413,0.04502501389660926,0.02817458974792761,0.8228260869565217,0.07942604856512141,0.10264900662251655,0.0653538247432575,0.0,"{""a_pillar_base_asym_delta"": -27.0, ""delta_1"": 465.0, ""delta_10"": 0.0, ""delta_11"": -5.0, ""delta_12"": -9.0, ""delta_13"": -36.0, ""delta_14"": -10.0, ""delta_15"": 0.0, ""delta_16"": -33.0, ""delta_17"": -5.0, ""delta_18"": -15.0, ""delta_19"": 75.0, ""delta_2"": 295.0, ""delta_20"": 78.0, ""delta_21"": 0.0, ""delta_3"": null, ""delta_4"": -10.0, ""delta_5"": -10.0, ""delta_6"": 2.0, ""delta_7"": -1.0, ""delta_8"": -10.0, ""delta_9"": -14.0, ""door_leading_lower_asym_delta"": -3.0, ""door_leading_upper_asym_delta"": 0.0, ""door_trailing_lower_asym_delta"": -5.0, ""door_trailing_upper_asym_delta"": -4.0, ""firewall_side_asym_delta"": 10.0, ""front_bumper_left_delta"": 78.0, ""front_bumper_right_delta"": 75.0, ""front_engine_block_delta"": 0.0, ""front_engine_front_delta"": 295.0, ""front_firewall_center_delta"": null, ""front_firewall_left_delta"": 0.0, ""front_firewall_right_delta"": -10.0, ""front_left_right_asym_delta"": 3.0, ""front_left_right_bumper_asymmetry"": 3.0, ""front_structural_delta"": 75.0, ""front_structural_delta_median"": 75.0, ""front_total_length_shortening"": 465.0, ""rear_total_length_shortening"": null, ""total_length_shortening"": 465.0}",465.0,75.0,3.0,,56.09,closingSpeed,15.580555555555556,219692.10883487653,1810.0,1632.0,4530.0,1840.0,2705.0,1228.0,56.09,56.09,0.0,0.0,0.0,0.0,0.0,0.0,DIRECT ENGAGEMENT,NOT APPLICABLE,NOT APPLICABLE,VTB
