test_id,test_no,vehicle_id,source_vehicle_no,impact_family,vehicle_role,quality_tier,MAKE,MODEL,YEAR,BODYD,VDI,vdi_usable,PDOF,LENCNT,DAMDST,CRHDST,DPD1,DPD2,DPD3,DPD4,DPD5,DPD6,C_profile_max_mm,C_mean_mm,C_rms_mm,A_crush_2d_mm2,C_peak_ratio,asymmetry,centroid_norm,L_norm,C_mean_norm,C_max_norm,A_crush_norm,D_offset_norm,AXBX_delta_summary,front_total_length_shortening,front_structural_delta_median,front_left_right_bumper_asymmetry,rear_total_length_shortening,speed_kph,speed_source,speed_mps,KE_proxy,VEHTWT,CURBWT,VEHLEN,VEHWID,WHLBAS,VEHCG,closingSpeed,vehicleSpeed,impactAngle,offsetDistance,IMPPNT,CRBANG,CARANG,VEHOR,BMPENGD,SILENGD,APLENGD,testConfigurationKey
496,7939,597,1,rear,subject_vehicle,A_ProfileValid,OTHER,HYDROGEN FCV PROTOTYPE,0,UTILITY VEHICLE,06BDEW2,1,180.0,1403.0,0.0,273.0,212.0,268.0,271.0,273.0,272.0,212.0,273.0,259.2,260.27754417160156,363657.6,1.0532407407407407,0.0042438271604938755,,,0.06012526096033403,0.06332637439109255,,,"{""a_pillar_base_asym_delta"": -11.0, ""delta_1"": 272.0, ""delta_10"": 5.0, ""delta_11"": -4.0, ""delta_12"": 8.0, ""delta_13"": -3.0, ""delta_14"": 0.0, ""delta_15"": 0.0, ""delta_16"": 3.0, ""delta_17"": 6.0, ""delta_18"": 4.0, ""delta_19"": 0.0, ""delta_2"": 0.0, ""delta_20"": 0.0, ""delta_21"": 0.0, ""delta_3"": null, ""delta_4"": 10.0, ""delta_5"": 0.0, ""delta_6"": 2.0, ""delta_7"": -3.0, ""delta_8"": 10.0, ""delta_9"": 2.0, ""door_leading_lower_asym_delta"": -5.0, ""door_leading_upper_asym_delta"": -10.0, ""door_trailing_lower_asym_delta"": -9.0, ""door_trailing_upper_asym_delta"": -8.0, ""firewall_side_asym_delta"": 0.0, ""front_bumper_left_delta"": 0.0, ""front_bumper_right_delta"": 0.0, ""front_engine_block_delta"": 0.0, ""front_engine_front_delta"": 0.0, ""front_firewall_center_delta"": null, ""front_firewall_left_delta"": 0.0, ""front_firewall_right_delta"": 0.0, ""front_left_right_asym_delta"": 0.0, ""front_left_right_bumper_asymmetry"": 0.0, ""front_structural_delta"": 0.0, ""front_structural_delta_median"": 0.0, ""front_total_length_shortening"": 272.0, ""rear_total_length_shortening"": 272.0, ""total_length_shortening"": 272.0}",272.0,0.0,0.0,272.0,48.0,closingSpeed,13.333333333333332,183555.55555555553,2065.0,,4311.0,0.0,0.0,0.0,48.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,ITV
1157,8547,1366,1,rear,subject_vehicle,X_Exclude,PLYMOUTH,NEON,1997,FOUR DOOR SEDAN,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,0.0,"{""a_pillar_base_asym_delta"": 0.0, ""delta_1"": 0.0, ""delta_10"": 0.0, ""delta_11"": 0.0, ""delta_12"": 0.0, ""delta_13"": 0.0, ""delta_14"": 0.0, ""delta_15"": 0.0, ""delta_16"": 0.0, ""delta_17"": 0.0, ""delta_18"": 0.0, ""delta_19"": 0.0, ""delta_2"": 0.0, ""delta_20"": 0.0, ""delta_21"": 0.0, ""delta_3"": null, ""delta_4"": 0.0, ""delta_5"": 0.0, ""delta_6"": 0.0, ""delta_7"": 0.0, ""delta_8"": 0.0, ""delta_9"": 0.0, ""door_leading_lower_asym_delta"": 0.0, ""door_leading_upper_asym_delta"": 0.0, ""door_trailing_lower_asym_delta"": 0.0, ""door_trailing_upper_asym_delta"": 0.0, ""firewall_side_asym_delta"": 0.0, ""front_bumper_left_delta"": 0.0, ""front_bumper_right_delta"": 0.0, ""front_engine_block_delta"": 0.0, ""front_engine_front_delta"": 0.0, ""front_firewall_center_delta"": null, ""front_firewall_left_delta"": 0.0, ""front_firewall_right_delta"": 0.0, ""front_left_right_asym_delta"": 0.0, ""front_left_right_bumper_asymmetry"": 0.0, ""front_structural_delta"": 0.0, ""front_structural_delta_median"": 0.0, ""front_total_length_shortening"": 0.0, ""rear_total_length_shortening"": 0.0, ""total_length_shortening"": 0.0}",0.0,0.0,0.0,0.0,64.51,closingSpeed,17.919444444444444,204705.38686342593,1275.0,,4380.0,1700.0,2640.0,0.0,64.51,64.51,180.0,0.0,0.0,0.0,0.0,0.0,DIRECT ENGAGEMENT,NO DIRECT ENGAGEMENT,NO DIRECT ENGAGEMENT,VTV
1157,8547,1367,2,rear,subject_vehicle,X_Exclude,JEEP,LIBERTY,2004,UTILITY VEHICLE,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,0.0,"{""a_pillar_base_asym_delta"": 0.0, ""delta_1"": 0.0, ""delta_10"": 0.0, ""delta_11"": 0.0, ""delta_12"": 0.0, ""delta_13"": 0.0, ""delta_14"": 0.0, ""delta_15"": 0.0, ""delta_16"": 0.0, ""delta_17"": 0.0, ""delta_18"": 0.0, ""delta_19"": 0.0, ""delta_2"": 0.0, ""delta_20"": 0.0, ""delta_21"": 0.0, ""delta_3"": null, ""delta_4"": 0.0, ""delta_5"": 0.0, ""delta_6"": 0.0, ""delta_7"": 0.0, ""delta_8"": 0.0, ""delta_9"": 0.0, ""door_leading_lower_asym_delta"": 0.0, ""door_leading_upper_asym_delta"": 0.0, ""door_trailing_lower_asym_delta"": 0.0, ""door_trailing_upper_asym_delta"": 0.0, ""firewall_side_asym_delta"": 0.0, ""front_bumper_left_delta"": 0.0, ""front_bumper_right_delta"": 0.0, ""front_engine_block_delta"": 0.0, ""front_engine_front_delta"": 0.0, ""front_firewall_center_delta"": null, ""front_firewall_left_delta"": 0.0, ""front_firewall_right_delta"": 0.0, ""front_left_right_asym_delta"": 0.0, ""front_left_right_bumper_asymmetry"": 0.0, ""front_structural_delta"": 0.0, ""front_structural_delta_median"": 0.0, ""front_total_length_shortening"": 0.0, ""rear_total_length_shortening"": 0.0, ""total_length_shortening"": 0.0}",0.0,0.0,0.0,0.0,64.51,closingSpeed,17.919444444444444,311954.9542554013,1943.0,,4210.0,1815.0,2640.0,0.0,64.51,0.0,180.0,0.0,0.0,0.0,0.0,0.0,NOT APPLICABLE,NO DIRECT ENGAGEMENT,DIRECT ENGAGEMENT,VTV
1161,8548,1372,1,rear,subject_vehicle,X_Exclude,PLYMOUTH,NEON,1997,FOUR DOOR SEDAN,,0,0.0,1524.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.8959435626102292,0.0,0.0,0.0,0.0,"{""a_pillar_base_asym_delta"": -5.0, ""delta_1"": 4373.0, ""delta_10"": -2.0, ""delta_11"": 0.0, ""delta_12"": 3.0, ""delta_13"": -2.0, ""delta_14"": 3.0, ""delta_15"": 3.0, ""delta_16"": 22.0, ""delta_17"": -1.0, ""delta_18"": 0.0, ""delta_19"": 4164.0, ""delta_2"": 3953.0, ""delta_20"": 4145.0, ""delta_21"": 0.0, ""delta_3"": null, ""delta_4"": -1.0, ""delta_5"": 2.0, ""delta_6"": 0.0, ""delta_7"": 0.0, ""delta_8"": 200.0, ""delta_9"": -1.0, ""door_leading_lower_asym_delta"": 0.0, ""door_leading_upper_asym_delta"": 3.0, ""door_trailing_lower_asym_delta"": 2.0, ""door_trailing_upper_asym_delta"": -201.0, ""firewall_side_asym_delta"": 0.0, ""front_bumper_left_delta"": 4145.0, ""front_bumper_right_delta"": 4164.0, ""front_engine_block_delta"": 0.0, ""front_engine_front_delta"": 3953.0, ""front_firewall_center_delta"": null, ""front_firewall_left_delta"": 3.0, ""front_firewall_right_delta"": 3.0, ""front_left_right_asym_delta"": -19.0, ""front_left_right_bumper_asymmetry"": -19.0, ""front_structural_delta"": 3953.0, ""front_structural_delta_median"": 3953.0, ""front_total_length_shortening"": 4373.0, ""rear_total_length_shortening"": 4373.0, ""total_length_shortening"": 4373.0}",4373.0,3953.0,-19.0,4373.0,64.66,closingSpeed,17.96111111111111,205658.4641203703,1275.0,,4373.0,1701.0,2630.0,1042.0,64.66,64.66,180.0,0.0,0.0,0.0,0.0,0.0,DIRECT ENGAGEMENT,NO DIRECT ENGAGEMENT,NO DIRECT ENGAGEMENT,VTV
1161,8548,1373,2,rear,subject_vehicle,A_ProfileValid,JEEP,LIBERTY,2004,UTILITY VEHICLE,06BDEW2,1,180.0,1524.0,0.0,120.0,-21.0,20.0,70.0,120.0,10.0,0.0,120.0,41.900000000000006,63.27795824771846,63855.600000000006,2.8639618138424816,0.18138424821002389,0.05795588659550471,0.8373626373626374,0.009950130610306342,0.02849679411066255,0.008331867609948827,0.0,"{""a_pillar_base_asym_delta"": 1.0, ""delta_1"": 111.0, ""delta_10"": -3.0, ""delta_11"": -6.0, ""delta_12"": -3.0, ""delta_13"": -2.0, ""delta_14"": -4.0, ""delta_15"": -5.0, ""delta_16"": -9.0, ""delta_17"": 0.0, ""delta_18"": 0.0, ""delta_19"": 0.0, ""delta_2"": -5.0, ""delta_20"": -21.0, ""delta_21"": 0.0, ""delta_3"": null, ""delta_4"": -5.0, ""delta_5"": -4.0, ""delta_6"": -5.0, ""delta_7"": -6.0, ""delta_8"": -6.0, ""delta_9"": -5.0, ""door_leading_lower_asym_delta"": -1.0, ""door_leading_upper_asym_delta"": 1.0, ""door_trailing_lower_asym_delta"": -3.0, ""door_trailing_upper_asym_delta"": 1.0, ""firewall_side_asym_delta"": -1.0, ""front_bumper_left_delta"": -21.0, ""front_bumper_right_delta"": 0.0, ""front_engine_block_delta"": 0.0, ""front_engine_front_delta"": -5.0, ""front_firewall_center_delta"": null, ""front_firewall_left_delta"": -5.0, ""front_firewall_right_delta"": -4.0, ""front_left_right_asym_delta"": -21.0, ""front_left_right_bumper_asymmetry"": -21.0, ""front_structural_delta"": -5.0, ""front_structural_delta_median"": -5.0, ""front_total_length_shortening"": 111.0, ""rear_total_length_shortening"": 111.0, ""total_length_shortening"": 111.0}",111.0,-5.0,-21.0,111.0,64.66,closingSpeed,17.96111111111111,316149.4820987654,1960.0,,4211.0,1820.0,2640.0,1233.0,64.66,0.0,180.0,0.0,0.0,0.0,0.0,0.0,DIRECT ENGAGEMENT,NO DIRECT ENGAGEMENT,NO DIRECT ENGAGEMENT,VTV
1171,8549,1385,1,rear,subject_vehicle,B_ProfilePartial,CADILLAC,DE VILLE,1993,FOUR DOOR SEDAN,12FDEW3,1,0.0,1524.0,0.0,85.0,-20.0,7.0,70.0,85.0,58.0,83.0,85.0,50.3,61.9394865978077,76657.2,1.6898608349900597,0.452286282306163,0.2772449175912268,0.8193548387096774,0.009673076923076923,0.016346153846153847,0.007925682382133994,0.0,"{""a_pillar_base_asym_delta"": -2.0, ""delta_1"": 70.0, ""delta_10"": -5.0, ""delta_11"": -10.0, ""delta_12"": 0.0, ""delta_13"": -2.0, ""delta_14"": 13.0, ""delta_15"": 7.0, ""delta_16"": 9.0, ""delta_17"": -9.0, ""delta_18"": 16.0, ""delta_19"": 83.0, ""delta_2"": 68.0, ""delta_20"": -20.0, ""delta_21"": 0.0, ""delta_3"": null, ""delta_4"": 2.0, ""delta_5"": -6.0, ""delta_6"": -8.0, ""delta_7"": -8.0, ""delta_8"": -2.0, ""delta_9"": 2.0, ""door_leading_lower_asym_delta"": 0.0, ""door_leading_upper_asym_delta"": -8.0, ""door_trailing_lower_asym_delta"": -5.0, ""door_trailing_upper_asym_delta"": 4.0, ""firewall_side_asym_delta"": -6.0, ""front_bumper_left_delta"": -20.0, ""front_bumper_right_delta"": 83.0, ""front_engine_block_delta"": 0.0, ""front_engine_front_delta"": 68.0, ""front_firewall_center_delta"": null, ""front_firewall_left_delta"": 7.0, ""front_firewall_right_delta"": 13.0, ""front_left_right_asym_delta"": -103.0, ""front_left_right_bumper_asymmetry"": -103.0, ""front_structural_delta"": 13.0, ""front_structural_delta_median"": 13.0, ""front_total_length_shortening"": 70.0, ""rear_total_length_shortening"": 70.0, ""total_length_shortening"": 70.0}",70.0,13.0,-103.0,70.0,56.58,closingSpeed,15.716666666666665,214654.8280555555,1738.0,,5200.0,1860.0,2885.0,0.0,56.58,56.58,180.0,0.0,0.0,0.0,0.0,0.0,DIRECT ENGAGEMENT,NO DIRECT ENGAGEMENT,NO DIRECT ENGAGEMENT,VTV
1171,8549,1386,2,rear,subject_vehicle,B_ProfilePartial,JEEP,CHEROKEE LAREDO,1998,UTILITY VEHICLE,06RDEW3,1,0.0,1524.0,0.0,425.0,385.0,425.0,386.0,340.0,270.0,193.0,425.0,342.0,349.53054229923885,521208.0,1.2426900584795322,-0.16695906432748542,-0.09802519617578909,0.8457269700332963,0.08238978559383281,0.10238496747771621,0.06967926373196515,0.0,"{""a_pillar_base_asym_delta"": -20.0, ""delta_1"": 376.0, ""delta_10"": 20.0, ""delta_11"": -2.0, ""delta_12"": 0.0, ""delta_13"": -20.0, ""delta_14"": 0.0, ""delta_15"": -9.0, ""delta_16"": 10.0, ""delta_17"": 11.0, ""delta_18"": -20.0, ""delta_19"": 193.0, ""delta_2"": -10.0, ""delta_20"": 385.0, ""delta_21"": 0.0, ""delta_3"": null, ""delta_4"": -5.0, ""delta_5"": -10.0, ""delta_6"": 17.0, ""delta_7"": -6.0, ""delta_8"": -5.0, ""delta_9"": -10.0, ""door_leading_lower_asym_delta"": -23.0, ""door_leading_upper_asym_delta"": -5.0, ""door_trailing_lower_asym_delta"": -22.0, ""door_trailing_upper_asym_delta"": -5.0, ""firewall_side_asym_delta"": -9.0, ""front_bumper_left_delta"": 385.0, ""front_bumper_right_delta"": 193.0, ""front_engine_block_delta"": 0.0, ""front_engine_front_delta"": -10.0, ""front_firewall_center_delta"": null, ""front_firewall_left_delta"": -9.0, ""front_firewall_right_delta"": 0.0, ""front_left_right_asym_delta"": 192.0, ""front_left_right_bumper_asymmetry"": 192.0, ""front_structural_delta"": 0.0, ""front_structural_delta_median"": 0.0, ""front_total_length_shortening"": 376.0, ""rear_total_length_shortening"": 376.0, ""total_length_shortening"": 376.0}",376.0,0.0,192.0,376.0,56.58,closingSpeed,15.716666666666665,229722.65833333327,1860.0,,4151.0,1802.0,2685.0,0.0,56.58,0.0,180.0,0.0,0.0,0.0,0.0,0.0,DIRECT ENGAGEMENT,NO DIRECT ENGAGEMENT,NO DIRECT ENGAGEMENT,VTV
1185,8550,1401,1,rear,subject_vehicle,B_ProfilePartial,CADILLAC,DE VILLE,1993,FOUR DOOR SEDAN,12FDEW2,1,0.0,1524.0,0.0,55.0,12.0,55.0,40.0,30.0,50.0,29.0,55.0,39.1,41.27347816697788,59588.4,1.4066496163682864,-0.020460358056265993,0.014590314154027118,0.8149732620320855,0.007507680491551459,0.010560675883256529,0.006118558860494345,0.0,"{""a_pillar_base_asym_delta"": -8.0, ""delta_1"": 40.0, ""delta_10"": 0.0, ""delta_11"": -6.0, ""delta_12"": -2.0, ""delta_13"": -10.0, ""delta_14"": 409.0, ""delta_15"": 0.0, ""delta_16"": 6.0, ""delta_17"": 0.0, ""delta_18"": -45.0, ""delta_19"": 29.0, ""delta_2"": 69.0, ""delta_20"": 12.0, ""delta_21"": 0.0, ""delta_3"": null, ""delta_4"": 0.0, ""delta_5"": 0.0, ""delta_6"": 0.0, ""delta_7"": -8.0, ""delta_8"": 0.0, ""delta_9"": 5.0, ""door_leading_lower_asym_delta"": -8.0, ""door_leading_upper_asym_delta"": 0.0, ""door_trailing_lower_asym_delta"": -6.0, ""door_trailing_upper_asym_delta"": 5.0, ""firewall_side_asym_delta"": -409.0, ""front_bumper_left_delta"": 12.0, ""front_bumper_right_delta"": 29.0, ""front_engine_block_delta"": 0.0, ""front_engine_front_delta"": 69.0, ""front_firewall_center_delta"": null, ""front_firewall_left_delta"": 0.0, ""front_firewall_right_delta"": 409.0, ""front_left_right_asym_delta"": -17.0, ""front_left_right_bumper_asymmetry"": -17.0, ""front_structural_delta"": 29.0, ""front_structural_delta_median"": 29.0, ""front_total_length_shortening"": 40.0, ""rear_total_length_shortening"": 40.0, ""total_length_shortening"": 40.0}",40.0,29.0,-17.0,40.0,56.34,closingSpeed,15.65,215531.80000000002,1760.0,,5208.0,1870.0,2900.0,0.0,56.34,56.34,180.0,0.0,0.0,0.0,0.0,0.0,DIRECT ENGAGEMENT,NO DIRECT ENGAGEMENT,NO DIRECT ENGAGEMENT,VTV
1185,8550,1402,2,rear,subject_vehicle,A_ProfileValid,JEEP,CHEROKEE LAREDO,1996,UTILITY VEHICLE,06RDEW3,1,180.0,1524.0,0.0,527.0,527.0,513.0,457.0,421.0,369.0,230.0,527.0,427.69999999999993,436.05836765277195,651814.7999999999,1.2321720832359133,-0.1494037877016599,-0.0958512976385317,0.8466666666666667,0.0955754189944134,0.11776536312849162,0.08092052141527001,0.0,"{""a_pillar_base_asym_delta"": -4.0, ""delta_1"": 444.0, ""delta_10"": 9.0, ""delta_11"": 8.0, ""delta_12"": -20.0, ""delta_13"": -24.0, ""delta_14"": -20.0, ""delta_15"": -20.0, ""delta_16"": -65.0, ""delta_17"": -12.0, ""delta_18"": -50.0, ""delta_19"": 230.0, ""delta_2"": -12.0, ""delta_20"": 527.0, ""delta_21"": 0.0, ""delta_3"": null, ""delta_4"": -6.0, ""delta_5"": -15.0, ""delta_6"": 8.0, ""delta_7"": 11.0, ""delta_8"": -13.0, ""delta_9"": -17.0, ""door_leading_lower_asym_delta"": 3.0, ""door_leading_upper_asym_delta"": -9.0, ""door_trailing_lower_asym_delta"": -1.0, ""door_trailing_upper_asym_delta"": -4.0, ""firewall_side_asym_delta"": 0.0, ""front_bumper_left_delta"": 527.0, ""front_bumper_right_delta"": 230.0, ""front_engine_block_delta"": 0.0, ""front_engine_front_delta"": -12.0, ""front_firewall_center_delta"": null, ""front_firewall_left_delta"": -20.0, ""front_firewall_right_delta"": -20.0, ""front_left_right_asym_delta"": 297.0, ""front_left_right_bumper_asymmetry"": 297.0, ""front_structural_delta"": -12.0, ""front_structural_delta_median"": -12.0, ""front_total_length_shortening"": 444.0, ""rear_total_length_shortening"": 444.0, ""total_length_shortening"": 444.0}",444.0,-12.0,297.0,444.0,56.34,closingSpeed,15.65,224104.0875,1830.0,,4475.0,1800.0,2690.0,0.0,56.34,0.0,180.0,0.0,0.0,0.0,0.0,0.0,DIRECT ENGAGEMENT,NO DIRECT ENGAGEMENT,NO DIRECT ENGAGEMENT,VTV
1210,8551,1436,1,rear,subject_vehicle,B_ProfilePartial,CADILLAC,DE VILLE,1993,FOUR DOOR SEDAN,12FDEW2,1,0.0,1524.0,0.0,41.0,-12.0,37.0,35.0,35.0,3.0,0.0,37.0,20.8,27.928480087537885,31699.2,1.971153846153846,-0.26923076923076916,-0.11314497834605072,0.8171581769436997,0.003996925441967717,0.007878554957724828,0.003266120307538231,0.0,"{""a_pillar_base_asym_delta"": -2.0, ""delta_1"": 41.0, ""delta_10"": -1.0, ""delta_11"": -11.0, ""delta_12"": 21.0, ""delta_13"": 19.0, ""delta_14"": 1.0, ""delta_15"": -2.0, ""delta_16"": -10.0, ""delta_17"": 17.0, ""delta_18"": -20.0, ""delta_19"": 0.0, ""delta_2"": 122.0, ""delta_20"": -12.0, ""delta_21"": 0.0, ""delta_3"": null, ""delta_4"": 398.0, ""delta_5"": 1.0, ""delta_6"": -4.0, ""delta_7"": -10.0, ""delta_8"": 101.0, ""delta_9"": -1.0, ""door_leading_lower_asym_delta"": -6.0, ""door_leading_upper_asym_delta"": -397.0, ""door_trailing_lower_asym_delta"": -10.0, ""door_trailing_upper_asym_delta"": -102.0, ""firewall_side_asym_delta"": -3.0, ""front_bumper_left_delta"": -12.0, ""front_bumper_right_delta"": 0.0, ""front_engine_block_delta"": 0.0, ""front_engine_front_delta"": 122.0, ""front_firewall_center_delta"": null, ""front_firewall_left_delta"": -2.0, ""front_firewall_right_delta"": 1.0, ""front_left_right_asym_delta"": -12.0, ""front_left_right_bumper_asymmetry"": -12.0, ""front_structural_delta"": 0.0, ""front_structural_delta_median"": 0.0, ""front_total_length_shortening"": 41.0, ""rear_total_length_shortening"": 41.0, ""total_length_shortening"": 41.0}",41.0,0.0,-12.0,41.0,56.59,closingSpeed,15.719444444444445,218807.87673996913,1771.0,,5204.0,1865.0,2885.0,0.0,56.59,56.59,180.0,0.0,0.0,0.0,0.0,0.0,DIRECT ENGAGEMENT,NO DIRECT ENGAGEMENT,NO DIRECT ENGAGEMENT,VTV
