file,column,inferred_dtype,non_null,missing,unique,min,max
deformation_vehicle_features.csv,test_id,int,1944,0,1923,1,3900
deformation_vehicle_features.csv,test_no,int,1944,0,1923,7201,15540
deformation_vehicle_features.csv,vehicle_id,int,1944,0,1944,1,4729
deformation_vehicle_features.csv,source_vehicle_no,int,1944,0,2,1,2
deformation_vehicle_features.csv,impact_family,string,1944,0,4,,
deformation_vehicle_features.csv,vehicle_role,string,1944,0,1,,
deformation_vehicle_features.csv,quality_tier,string,1944,0,5,,
deformation_vehicle_features.csv,MAKE,string,1944,0,45,,
deformation_vehicle_features.csv,MODEL,string,1942,2,363,,
deformation_vehicle_features.csv,YEAR,int,1943,1,27,0,2026
deformation_vehicle_features.csv,BODYD,string,1944,0,19,,
deformation_vehicle_features.csv,VDI,string,1801,143,36,,
deformation_vehicle_features.csv,vdi_usable,int,1944,0,2,0,1
deformation_vehicle_features.csv,PDOF,int,1928,16,7,0,345
deformation_vehicle_features.csv,LENCNT,int,1944,0,528,-600,5250
deformation_vehicle_features.csv,DAMDST,int,1855,89,765,-1428,99999999
deformation_vehicle_features.csv,CRHDST,int,1935,9,550,0,4333
deformation_vehicle_features.csv,DPD1,int,1943,1,518,-339,2075
deformation_vehicle_features.csv,DPD2,int,1935,9,598,-248,1618
deformation_vehicle_features.csv,DPD3,int,1935,9,597,-318,1186
deformation_vehicle_features.csv,DPD4,int,1935,9,582,-268,1195
deformation_vehicle_features.csv,DPD5,int,1935,9,571,-120,1422
deformation_vehicle_features.csv,DPD6,int,1943,1,507,-277,1052
deformation_vehicle_features.csv,C_profile_max_mm,int,1943,1,543,0,2075
deformation_vehicle_features.csv,C_mean_mm,float,1935,9,1388,-142.6,1137.7
deformation_vehicle_features.csv,C_rms_mm,float,1935,9,1702,0,1157.35323044
deformation_vehicle_features.csv,A_crush_2d_mm2,float,1844,100,1631,-270940,2130762.5
deformation_vehicle_features.csv,C_peak_ratio,float,1707,237,1694,-4.59770114943,24.0639269406
deformation_vehicle_features.csv,asymmetry,float,1707,237,1701,-5.075,4.29120879121
deformation_vehicle_features.csv,centroid_norm,float,1704,240,1703,-1.58510028653,1.28712926808
deformation_vehicle_features.csv,L_norm,float,1919,25,1773,-0.121654501217,6.1
deformation_vehicle_features.csv,C_mean_norm,float,1927,17,1705,-0.0811610700057,0.50956284153
deformation_vehicle_features.csv,C_max_norm,float,1927,17,1897,0,0.933031869078
deformation_vehicle_features.csv,A_crush_norm,float,1842,102,1678,-0.0336841487573,0.603847944143
deformation_vehicle_features.csv,D_offset_norm,float,1839,105,1253,-1.428,111358.573497
deformation_vehicle_features.csv,AXBX_delta_summary,string,1944,0,1401,,
deformation_vehicle_features.csv,front_total_length_shortening,int,1785,159,512,-472,4858
deformation_vehicle_features.csv,front_structural_delta_median,float,1785,159,404,-1040,3953
deformation_vehicle_features.csv,front_left_right_bumper_asymmetry,int,1785,159,324,-3737,4504
deformation_vehicle_features.csv,rear_total_length_shortening,int,33,1911,15,0,4373
deformation_vehicle_features.csv,speed_kph,float,1944,0,440,0,90
deformation_vehicle_features.csv,speed_source,string,1944,0,1,,
deformation_vehicle_features.csv,speed_mps,float,1944,0,440,0,25
deformation_vehicle_features.csv,KE_proxy,float,1935,9,1929,0,580857.20321
deformation_vehicle_features.csv,VEHTWT,int,1935,9,1136,0,3957
deformation_vehicle_features.csv,CURBWT,int,1703,241,939,0,9860
deformation_vehicle_features.csv,VEHLEN,int,1935,9,905,0,6810
deformation_vehicle_features.csv,VEHWID,int,1935,9,368,0,2190
deformation_vehicle_features.csv,WHLBAS,int,1935,9,619,0,5969
deformation_vehicle_features.csv,VEHCG,int,1912,32,698,0,3149
deformation_vehicle_features.csv,closingSpeed,float,1944,0,440,0,90
deformation_vehicle_features.csv,vehicleSpeed,float,1944,0,300,0,90
deformation_vehicle_features.csv,impactAngle,int,1944,0,6,0,285
deformation_vehicle_features.csv,offsetDistance,int,1890,54,3,-15,809
deformation_vehicle_features.csv,IMPPNT,int,1851,93,502,-861,1364
deformation_vehicle_features.csv,CRBANG,int,1916,28,4,0,285
deformation_vehicle_features.csv,CARANG,int,1682,262,4,0,99999999
deformation_vehicle_features.csv,VEHOR,int,1629,315,5,0,99999999
deformation_vehicle_features.csv,BMPENGD,string,1944,0,3,,
deformation_vehicle_features.csv,SILENGD,string,1944,0,4,,
deformation_vehicle_features.csv,APLENGD,string,1944,0,4,,
deformation_vehicle_features.csv,testConfigurationKey,string,1944,0,4,,
deformation_profile_points.csv,test_id,int,11612,0,1923,1,3900
deformation_profile_points.csv,test_no,int,11612,0,1923,7201,15540
deformation_profile_points.csv,vehicle_id,int,11612,0,1943,1,4729
deformation_profile_points.csv,impact_family,string,11612,0,4,,
deformation_profile_points.csv,vehicle_role,string,11612,0,1,,
deformation_profile_points.csv,damage_face,string,11612,0,3,,
deformation_profile_points.csv,profile_axis,string,11612,0,2,,
deformation_profile_points.csv,crush_axis,string,11612,0,2,,
deformation_profile_points.csv,point_index,int,11612,0,6,1,6
deformation_profile_points.csv,dpd_value_mm,int,11612,0,831,-339,2075
deformation_profile_points.csv,s_local_mm,float,11058,554,2980,-2625,2625
deformation_profile_points.csv,s_vehicle_mm,float,10692,920,5271,-2625,100000589
deformation_profile_points.csv,s_norm,float,11612,0,24,-0.5,0.5
deformation_profile_points.csv,lencnt_mm,int,11612,0,528,-600,5250
deformation_profile_points.csv,damdst_mm,int,11124,488,765,-1428,99999999
deformation_profile_points.csv,quality_tier,string,11612,0,5,,
deformation_profile_points.csv,source,string,11612,0,1,,
deformation_quality_audit.csv,test_id,int,4705,0,3899,1,3900
deformation_quality_audit.csv,test_no,int,4705,0,3899,7201,15540
deformation_quality_audit.csv,vehicle_id,int,4705,0,4705,1,4729
deformation_quality_audit.csv,source_vehicle_no,int,4705,0,2,1,2
deformation_quality_audit.csv,impact_family,string,4705,0,15,,
deformation_quality_audit.csv,vehicle_role,string,4705,0,2,,
deformation_quality_audit.csv,quality_tier,string,4705,0,5,,
deformation_quality_audit.csv,flag_all_zero_placeholder,int,4705,0,2,0,1
deformation_quality_audit.csv,flag_not_subject_vehicle,int,4705,0,2,0,1
deformation_quality_audit.csv,flag_dpd_all_zero,int,4705,0,2,0,1
deformation_quality_audit.csv,flag_crhdst_missing_or_zero,int,4705,0,2,0,1
deformation_quality_audit.csv,flag_vdi_unusable,int,4705,0,2,0,1
deformation_quality_audit.csv,flag_lencnt_missing,int,4705,0,2,0,1
deformation_quality_audit.csv,flag_damdst_missing,int,4705,0,2,0,1
